Full Name,Position,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index
Eldin Jakupovic,GK,0,0,0,6,0,0,0,0,0,8,0,36,67.8,0,0,6.8
Jeremy Pied,DF,0,1,0,3,0,0,0,0,0,0,1,47,65.8,29.9,4,10
Kyle Walker Peters,DF,0,2,1,4,0,0,0,0,0,0,0,73,70.4,48.3,10,12.9
Beni Baningime,MF,0,0,0,2,0,0,0,1,0,0,0,20,9.4,3.8,0,1.3
Konstantinos Mavropanos,DF,0,0,1,5,0,0,0,0,1,0,0,41,52.2,1.3,2,5.5
Nordin Amrabat,MF,0,0,1,3,0,0,0,0,0,0,0,11,22.8,46.5,10,8
Connor Goldson,DF,0,0,1,5,0,0,0,1,0,0,0,36,40.4,3.5,55,9.9
Tyrone Mings,DF,0,0,0,5,0,0,0,1,0,0,0,40,46.6,14.8,10,7.2
James McCarthy,MF,0,0,0,6,0,0,0,0,0,0,0,41,33.8,19.3,4,5.8
James Morrison,MF,1,0,2,1,0,0,0,0,0,0,0,35,56,40.4,47,14.5
Lucas Rodrigues Moura da Silva,MF,0,1,0,6,0,0,0,0,0,0,0,36,49,83.2,41,17.5
Nacer Chadli,MF,1,0,1,4,0,0,0,1,0,0,3,38,44.4,26.4,35,10.6
Joe Lolley,MF,1,0,0,5,0,0,0,1,0,0,0,28,50.6,20,47,11.8
Abdelhamid Sabiri,MF,0,1,1,5,0,0,0,1,0,0,0,30,30.8,40.6,53,12.4
Jurgen Locadia,FW,1,1,1,8,0,0,0,0,0,0,2,47,50.4,24.6,89,15.8
Georges Kevin Nkoudou,MF,0,0,1,2,0,0,0,1,0,0,0,21,26,49.3,41,11.2
Fernando Llorente,FW,1,0,1,2,0,0,0,1,0,0,2,70,60.2,66.7,99,22.6
Claudio Bravo,GK,0,0,1,1,0,0,0,0,0,4,1,42,45.2,0,0,4.5
Patrice Evra,DF,0,0,0,10,0,0,0,0,0,0,0,32,42.8,6,0,5
Gnegneri Yaya Toure,MF,0,2,0,2,0,0,0,1,0,0,0,99,105,122.6,72,29.8
Kyle Bartley,DF,0,0,0,4,0,0,0,2,0,0,0,29,75,21.2,16,11.2
Adam Lallana,MF,0,0,1,1,0,0,0,1,0,0,0,37,32.6,113.4,128,27.3
Sam Byram,DF,0,0,0,7,0,0,0,1,0,0,0,41,71,37.6,36,14.5
Davy Klaassen,MF,0,0,0,6,0,0,0,0,0,0,0,18,23,33.7,28,8.3
Danny Ings,FW,1,1,3,0,0,0,0,0,0,0,0,53,57.8,42,143,24
Oliver McBurnie,FW,0,1,0,5,0,0,0,0,0,0,0,45,38.4,30.4,105,17.4
Connor Roberts,DF,0,0,0,4,0,0,0,0,0,0,0,41,26.2,12.8,2,4.1
