,1st_Serve,1st_Serve_Pts_Won,2nd_Serve_Pts_Won,Break_Pts_Saved
Albert Costa,0.668,0.676,0.522,0.603
Alexander Zverev,0.627,0.727,0.512,0.609
Aljaz Bedene,0.571,0.737,0.488,0.576
Amos Mansdorf,0.575,0.698,0.520,0.615
Andre Agassi,0.626,0.729,0.540,0.648
Andy Murray,0.581,0.745,0.520,0.626
Andy Roddick,0.648,0.793,0.560,0.676
Austin Krajicek,0.619,0.729,0.495,0.577
Bernard Tomic,0.663,0.711,0.502,0.638
Boris Becker,0.574,0.794,0.502,0.657
Borna Coric,0.614,0.710,0.530,0.600
Brett Steven,0.651,0.687,0.502,0.610
Carlos Moya,0.586,0.718,0.516,0.628
Cedric Pioline,0.572,0.735,0.494,0.609
Daniil Medvedev,0.594,0.713,0.494,0.622
Darren Cahill,0.598,0.710,0.495,0.603
David Ferrer,0.630,0.686,0.524,0.601
David Goffin,0.582,0.714,0.509,0.607
David Nalbandian,0.591,0.694,0.523,0.593
David Wheaton,0.600,0.737,0.479,0.629
Denis Shapovalov,0.572,0.757,0.527,0.648
Dmitry Tursunov,0.573,0.727,0.504,0.627
Dominic Thiem,0.590,0.741,0.528,0.628
Ernests Gulbis,0.605,0.753,0.486,0.638
Feliciano Lopez,0.587,0.760,0.517,0.656
Fernando Gonzalez,0.609,0.743,0.514,0.637
Fernando Verdasco,0.675,0.707,0.512,0.625
Fernon Wibier,0.663,0.705,0.466,0.581
Florian Mayer,0.617,0.690,0.501,0.579
Gael Monfils,0.620,0.730,0.500,0.613
Gilles Muller,0.614,0.780,0.502,0.668
Goran Ivanisevic,0.549,0.825,0.501,0.661
Greg Rusedski,0.580,0.798,0.523,0.662
Grigor Dimitrov,0.621,0.748,0.516,0.626
Guillermo Canas,0.578,0.711,0.510,0.598
Gustavo Kuerten,0.547,0.762,0.516,0.627
Guy Forget,0.581,0.778,0.517,0.639
Hyeon Chung,0.617,0.703,0.501,0.592
Ivan Dodig,0.587,0.726,0.494,0.600
Ivan Lendl,0.560,0.760,0.522,0.625
