No,Borough,Code,Population,Area,Population_Density,Mean_Age,Employment_Rate,Median_Household_Income,Median_House_Price,Crime_Rate,Greenspace,NOx,PM_25,Life_Exp_Male ,Life_Exp_Female ,Unemployment_Rate,Degree_Proportion
1,City of London,E09000001,8800,290,30.3,43.2,64.6,63620,799999,84.9,4.8,909.4,104.5,80.3,84.2,6.0,50.1
2,Barking and Dagenham,E09000002,209000,3611,57.9,32.9,65.8,29420,243500,83.4,33.6,1831.9,188.6,77.6,82.1,11.0,32.2
3,Barnet,E09000003,389600,8675,44.9,37.3,68.5,40530,445000,62.7,41.3,2238.1,143.7,82.1,85.1,8.5,49.0
4,Bexley,E09000004,244300,6058,40.3,39.0,75.1,36990,275000,51.8,31.7,1419.4,117.8,80.4,84.4,7.6,33.5
5,Brent,E09000005,332100,4323,76.8,35.6,69.5,32140,407250,78.8,21.9,1285.0,160.3,80.1,85.1,7.5,45.1
6,Bromley,E09000006,327900,15013,21.8,40.2,75.3,43060,374975,64.1,57.8,1136.5,101.1,81.4,84.9,5.3,46.7
7,Camden,E09000007,242500,2179,111.3,36.4,69.2,43750,700000,123.5,24.8,577.4,45.2,81.8,86.7,4.0,61.1
8,Croydon,E09000008,386500,8650,44.7,37.0,75.4,37000,300000,77.0,37.1,2052.0,203.5,80.3,83.6,4.1,40.6
9,Ealing,E09000009,351600,5554,63.3,36.2,72.7,36070,430000,75.5,30.9,1199.6,138.7,80.6,84.2,5.8,49.7
10,Enfield,E09000010,333000,8083,41.2,36.3,73.0,33110,320000,69.4,45.6,1631.6,161.7,80.7,84.1,3.8,43.4
11,Greenwich,E09000011,280100,4733,59.2,35.0,72.1,35350,340000,79.4,34.4,2489.2,168.0,79.0,82.5,8.1,42.2
12,Hackney,E09000012,274300,1905,144.0,33.1,69.0,35140,485000,99.6,23.2,1260.4,139.3,78.5,83.3,5.9,49.2
13,Hammersmith and Fulham,E09000013,185300,1640,113.0,35.7,77.5,43820,730000,113.2,19.1,682.5,71.8,79.7,84.1,4.7,67.5
14,Haringey,E09000014,278000,2960,93.9,35.1,71.3,35420,432500,90.2,25.5,730.1,66.0,80.1,84.9,5.7,49.2
15,Harrow,E09000015,252300,5046,50.0,38.3,73.9,38880,396150,50.4,34.6,788.4,76.3,82.7,86.1,4.6,47.9
16,Havering,E09000016,254300,11235,22.6,40.3,76.5,36670,287500,62.9,59.3,767.7,96.1,80.2,83.9,5.3,26.0
17,Hillingdon,E09000017,301000,11570,26.0,36.4,73.2,37040,350000,76.6,49.2,1377.1,137.3,80.4,83.9,5.8,40.2
18,Hounslow,E09000018,274200,5598,49.0,35.8,74.2,35330,355000,79.2,39.6,5143.1,278.8,80.0,83.9,4.3,45.5
19,Islington,E09000019,231200,1486,155.6,34.8,72.6,39790,583000,121.2,12.4,2053.6,123.5,79.0,83.5,4.5,62.7
20,Kensington and Chelsea,E09000020,159000,1212,131.1,39.3,68.2,55620,1200000,120.9,15.1,672.5,62.6,83.3,86.4,4.2,65.2
21,Kingston upon Thames,E09000021,175400,3726,47.1,37.1,74.4,43940,410000,58.5,36.4,746.0,63.7,82.0,84.6,4.5,53.7
22,Lambeth,E09000022,328900,2681,122.7,34.5,78.5,38490,450000,104.6,17.3,729.5,76.3,78.9,83.3,5.9,65.0
23,Lewisham,E09000023,303400,3515,86.3,35.0,75.9,35900,352000,77.0,22.5,941.4,96.9,79.0,83.4,5.7,53.3
24,Merton,E09000024,208100,3762,55.3,36.7,78.8,41960,415000,59.7,34.6,1439.3,85.4,80.4,84.2,4.6,58.0
25,Newham,E09000025,342900,3620,94.7,32.1,66.2,28780,305000,90.8,23.9,644.0,78.8,78.5,83.0,9.1,43.4
26,Redbridge,E09000026,304200,5642,53.9,35.8,68.3,36860,345000,69.7,40.6,1468.1,131.4,80.9,84.6,7.9,44.7
27,Richmond upon Thames,E09000027,197300,5741,34.4,38.8,79.6,53470,575000,56.3,50.8,1024.8,108.1,82.4,86.0,3.8,69.5
28,Southwark,E09000028,314300,2886,108.9,34.4,74.2,37100,475000,100.6,24.9,978.0,86.9,78.9,83.9,7.7,56.8
29,Sutton,E09000029,202600,4385,46.2,38.9,78.2,39940,320000,55.9,32.0,1057.1,89.3,80.9,83.4,5.5,42.5
30,Tower Hamlets,E09000030,304000,1978,153.7,31.4,70.4,34930,415000,99.9,15.2,678.5,84.2,78.1,82.5,9.2,45.7
31,Waltham Forest,E09000031,276200,3881,71.2,35.1,73.1,33080,366569,78.0,31.4,1185.0,113.4,79.4,83.8,5.4,42.6
32,Wandsworth,E09000032,321000,3426,93.7,35.0,78.8,47480,557000,72.6,26.9,812.0,86.1,79.5,83.7,5.7,66.4
33,Westminster,E09000033,242100,2149,112.7,37.7,65.6,47510,920000,212.4,38.2,955.2,103.4,82.3,86.3,8.8,63.6
