Borough,Code,Population,Households,Population_Density,Mean_Age,Employment_rate_(%)_(2015),Unemployment_rate_(2015),Youth_Unemployment_(claimant)_rate_18-24_(Dec-15),Proportion_of_the_working-age_pop_who_claim_out-of-work_benefits_(%)_(May-2016),Proportion_of_working_age_with_degree_or_equivalent_and_above_(%)_2015,Modelled_Household_median_income_estimates_2012/13,Crime_rates_per_thousand_population_2014/15,Fires_per_thousand_population_(2014),Ambulance_incidents_per_hundred_population_(2014),Median_House_Price_2015,%_of_area_that_is_Greenspace_2005,Total_carbon_emissions_(2014),%_of_adults_who_cycle_at_least_once_per_month_2014/15,5_or_more_A*-_C_grades_GCSE_2013/14,"Male_life_expectancy,_(2012-14)","Female_life_expectancy,_(2012-14)",Childhood_Obesity_Prevalance_(%)_2015/16,People_aged_17+_with_diabetes_(%),Mortality_rate_from_causes_considered_preventable_2012/14
City of London,E09000001,8800,5326,30.3,43.2,64.6,NaN,1.6,3.4,NaN,"63,620",NaN,12.3,NaN,799999,4.8,1036,16.9,78.6,NaN,NaN,NaN,2.6,129
Barking and Dagenham,E09000002,209000,78188,57.9,32.9,65.8,11,4.5,10.5,32.2,"29,420",83.4,3,13.7,243500,33.6,644,8.8,58,77.6,82.1,28.5,7.3,228
Barnet,E09000003,389600,151423,44.9,37.3,68.5,8.5,1.9,6.2,49,"40,530",62.7,1.6,11.1,445000,41.3,1415,7.4,67.3,82.1,85.1,20.7,6,134
Bexley,E09000004,244300,97736,40.3,39,75.1,7.6,2.9,6.8,33.5,"36,990",51.8,2.3,11.8,275000,31.7,975,10.6,60.3,80.4,84.4,22.7,6.9,164
Brent,E09000005,332100,121048,76.8,35.6,69.5,7.5,3.1,8.3,45.1,"32,140",78.8,1.8,12.1,407250,21.9,1175,7.9,60.1,80.1,85.1,24.3,7.9,169
Bromley,E09000006,327900,140602,21.8,40.2,75.3,5.3,2.5,6,46.7,"43,060",64.1,2.3,11.2,374975,57.8,1180,13,68,81.4,84.9,16,5.2,148
Camden,E09000007,242500,107654,111.3,36.4,69.2,4,3.6,8.5,61.1,"43,750",123.5,2.7,14.8,700000,24.8,1288,18.8,62.7,81.8,86.7,21.3,3.9,164
Croydon,E09000008,386500,159010,44.7,37,75.4,4.1,4.8,7.8,40.6,"37,000",77,2.2,12.8,300000,37.1,1237,12.8,57.7,80.3,83.6,24.5,6.5,178
Ealing,E09000009,351600,132663,63.3,36.2,72.7,5.8,3,7.9,49.7,"36,070",75.5,1.9,11.3,430000,30.9,1342,15,62.1,80.6,84.2,23.8,6.9,164
Enfield,E09000010,333000,130328,41.2,36.3,73,3.8,3.3,9.3,43.4,"33,110",69.4,2.2,12.2,320000,45.6,1245,7.9,59.9,80.7,84.1,25.2,7,152
Greenwich,E09000011,280100,113964,59.2,35,72.1,8.1,5.4,9.5,42.2,"35,350",79.4,2.5,11.9,340000,34.4,1014,7.7,58.8,79,82.5,27.7,6.1,193
Hackney,E09000012,274300,115417,144,33.1,69,5.9,4.8,10.7,49.2,"35,140",99.6,2.7,11.5,485000,23.2,813,25.2,60.6,78.5,83.3,27,5.8,211
Hammersmith and Fulham,E09000013,185300,83552,113,35.7,77.5,4.7,2.2,8.4,67.5,"43,820",113.2,2,12.2,730000,19.1,809,20.1,60.5,79.7,84.1,21.3,4.4,187
Haringey,E09000014,278000,115608,93.9,35.1,71.3,5.7,5.6,9.7,49.2,"35,420",90.2,2.1,12.3,432500,25.5,773,14.1,59.7,80.1,84.9,23.8,5.9,183
Harrow,E09000015,252300,92557,50,38.3,73.9,4.6,2.4,5.4,47.9,"38,880",50.4,1.3,9.8,396150,34.6,748,8.3,66.4,82.7,86.1,20.2,8.5,134
Havering,E09000016,254300,104098,22.6,40.3,76.5,5.3,3.3,7,26,"36,670",62.9,2.5,12.9,287500,59.3,1032,7.8,59.8,80.2,83.9,21.8,5.9,159
Hillingdon,E09000017,301000,110827,26,36.4,73.2,5.8,2.5,6.5,40.2,"37,040",76.6,2.6,14.7,350000,49.2,1713,12.3,62,80.4,83.9,21.1,6.4,170
Hounslow,E09000018,274200,105887,49,35.8,74.2,4.3,2.9,6.1,45.5,"35,330",79.2,2.1,12.1,355000,39.6,1277,16,63.2,80,83.9,24.1,6.5,166
Islington,E09000019,231200,105038,155.6,34.8,72.6,4.5,4.5,10.5,62.7,"39,790",121.2,2.6,13.9,583000,12.4,878,21.4,59.9,79,83.5,22.8,5,203
Kensington and Chelsea,E09000020,159000,80200,131.1,39.3,68.2,4.2,3.4,7.2,65.2,"55,620",120.9,2,12.7,1200000,15.1,1154,16.9,68.7,83.3,86.4,18.6,4.2,136
Kingston upon Thames,E09000021,175400,69849,47.1,37.1,74.4,4.5,2,4.6,53.7,"43,940",58.5,1.8,11.1,410000,36.4,678,20.4,68.6,82,84.6,16.9,4.9,141
Lambeth,E09000022,328900,144400,122.7,34.5,78.5,5.9,4.1,8.8,65,"38,490",104.6,2.5,13.3,450000,17.3,1091,16,57.1,78.9,83.3,23,5,205
Lewisham,E09000023,303400,131076,86.3,35,75.9,5.7,6,9.8,53.3,"35,900",77,2.2,12,352000,22.5,825,16.1,56.3,79,83.4,23.6,6.1,191
Merton,E09000024,208100,84201,55.3,36.7,78.8,4.6,3.9,5.7,58,"41,960",59.7,1.8,10.4,415000,34.6,691,14.4,67.8,80.4,84.2,19.2,5.6,162
Newham,E09000025,342900,119172,94.7,32.1,66.2,9.1,4.1,8,43.4,"28,780",90.8,2.5,12.2,305000,23.9,1261,5.6,55.7,78.5,83,27.6,7.6,193
Redbridge,E09000026,304200,110708,53.9,35.8,68.3,7.9,4.1,6,44.7,"36,860",69.7,1.9,11.3,345000,40.6,874,11.8,68.7,80.9,84.6,23.3,7.9,142
Richmond upon Thames,E09000027,197300,85108,34.4,38.8,79.6,3.8,2.4,4.4,69.5,"53,470",56.3,1.5,9.7,575000,50.8,790,33.1,70.5,82.4,86,12.6,3.7,137
Southwark,E09000028,314300,134254,108.9,34.4,74.2,7.7,4.7,8.8,56.8,"37,100",100.6,3,13.6,475000,24.9,1169,20.1,61.2,78.9,83.9,27.6,5.5,207
Sutton,E09000029,202600,85243,46.2,38.9,78.2,5.5,2.3,5.1,42.5,"39,940",55.9,2,11.3,320000,32,666,9.4,67.4,80.9,83.4,18.4,5.9,163
Tower Hamlets,E09000030,304000,123720,153.7,31.4,70.4,9.2,3.2,8.5,45.7,"34,930",99.9,3.5,11.8,415000,15.2,1703,22.4,59.2,78.1,82.5,27.1,6.6,239
Waltham Forest,E09000031,276200,105981,71.2,35.1,73.1,5.4,3.5,8.1,42.6,"33,080",78,2.2,11.7,366569,31.4,780,12.9,58.3,79.4,83.8,26.3,6.4,185
Wandsworth,E09000032,321000,138149,93.7,35,78.8,5.7,2.6,5.9,66.4,"47,480",72.6,1.8,10.1,557000,26.9,1038,30.7,63,79.5,83.7,19.3,4.2,177
Westminster,E09000033,242100,118975,112.7,37.7,65.6,8.8,3.5,7.6,63.6,"47,510",212.4,4,19.9,920000,38.2,2502,15.8,65.7,82.3,86.3,24.9,4.4,162
