Player,Age,Country,Foot,ContractExp,ContractExpY,POS,Position,ValMillions,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Cristian DellOrco,25,Italy,left,30/06/2020,2020,Left Back,Defender,0.9,34,2511,29,5,4,1,0,0,1,1,0,1,0,6,1,46,30,6,12,2,11,0,14,45,29,27,22,862,1082,6,39,144,20,125,0,1,6,1,1,0,0,0,0,0,15,0,1670,10,0,0,0,0,0,0,0,0,5,0,0,0,41,3,0,103,103,42,0,1,0,0,1,28
Danilo DAmbrosio,31,Italy,right,30/06/2021,2021,Right Back,Defender,11.7,102,8879,100,2,12,18,0,0,8,11,1,10,1,61,19,140,194,47,81,19,68,1,26,237,171,190,132,4155,5001,47,144,558,60,571,0,1,48,16,8,13,3,0,0,1,67,0,7271,162,0,0,0,0,0,0,1,1,58,0,0,0,100,32,2,161,160,202,5,0,18,6,6,121
Danny da Costa,26,Germany  Angola,right,30/06/2022,2022,Right Back,Defender,13.5,62,5047,56,6,5,2,0,0,4,10,0,9,1,37,10,60,197,44,64,17,52,2,13,117,80,47,28,1139,1713,44,94,289,50,285,0,0,30,10,4,7,0,0,0,0,44,0,3244,99,0,0,0,0,0,0,0,0,47,0,0,0,90,14,0,105,105,72,2,0,13,5,4,117
David McGoldrick,31,Ireland  England,right,30/06/2021,2021,Centre Forward,Striker,1.8,8,557,7,1,6,1,0,0,0,0,1,0,0,15,8,0,4,1,2,1,2,0,0,14,10,11,10,118,151,1,19,15,12,55,0,0,10,6,0,5,2,0,0,0,8,0,267,17,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,8,8,3,0,0,2,7,0,17
DeAndre Yedlin,26,United States  Latvia,right,30/06/2021,2021,Right Back,Defender,7.2,68,5692,63,5,2,12,0,1,1,4,0,4,0,17,2,76,162,40,48,4,42,2,19,118,71,76,44,1346,1832,40,80,285,38,280,0,0,3,2,1,14,0,0,0,0,31,2,3444,36,0,0,0,0,0,0,0,0,17,0,0,0,82,13,2,171,171,60,0,2,14,1,1,68
Dong won Ji,28,"Korea, South",right,30/06/2022,2022,Centre Forward,Striker,1.58,51,3201,34,17,8,6,0,0,7,3,0,3,0,67,19,31,47,11,37,6,33,1,9,39,27,70,50,819,1178,11,150,137,48,281,0,1,41,14,5,26,5,2,0,1,46,0,1801,112,0,0,0,0,0,0,0,0,15,0,0,0,67,6,0,60,56,23,2,0,8,2,2,104
Dwight McNeil,19,England,left,30/06/2023,2023,Left Winger,Midfielder,13.5,33,2536,30,3,14,2,0,0,4,7,0,5,2,41,8,20,182,50,37,7,13,17,4,49,32,22,20,526,682,21,30,161,52,151,0,0,18,4,3,23,4,1,0,0,46,0,1342,46,0,0,0,0,19,7,42,39,30,5,1,0,42,4,0,38,38,28,0,0,1,1,0,96
Evan NDicka,20,France  Cameroon,left,30/06/2023,2023,Centre Back,Defender,19.8,30,2519,27,3,2,3,0,0,1,1,0,1,0,13,2,33,2,1,4,0,3,0,12,44,28,27,7,976,1224,1,80,177,7,137,0,0,12,1,1,1,1,0,0,0,11,0,1612,21,0,0,0,0,0,0,0,0,2,0,0,0,46,6,0,118,118,90,0,0,1,2,1,14
Ferris NGoma,26,France  DR Congo,both,30/06/2021,2021,Central Midfield,Midfielder,0.63,2,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Frenkie de Jong,22,Netherlands,right,30/06/2024,2024,Central Midfield,Midfielder,76.5,11,858,10,1,4,1,0,0,1,1,0,1,0,1,1,8,1,0,12,2,11,0,3,19,16,10,14,583,634,0,7,57,23,63,0,0,1,1,1,0,0,0,0,0,12,0,772,13,0,0,0,0,0,0,0,0,1,0,0,0,12,2,0,4,4,25,2,0,1,0,1,31
Heung min Son,27,"Korea, South",both,30/06/2023,2023,Left Winger,Midfielder,72,110,7043,80,30,54,4,0,1,40,20,3,20,0,252,104,28,146,26,126,20,101,5,3,70,38,41,81,2245,2669,18,21,290,169,340,0,2,168,79,32,84,25,8,1,4,180,0,4234,548,0,0,0,0,5,1,39,29,94,1,0,0,69,7,0,27,27,45,10,0,75,21,19,324
Hidde ter Avest,22,Netherlands,right,30/06/2022,2022,Right Back,Defender,1.8,16,1102,14,2,10,0,0,0,0,1,1,1,0,3,1,11,23,7,9,0,8,0,3,28,15,4,8,309,428,7,11,47,5,49,0,1,3,1,0,0,0,0,0,0,6,0,689,15,0,0,0,0,0,0,0,0,3,0,0,0,19,2,0,25,25,10,0,0,0,0,0,10
Hyun jun Suk,28,"Korea, South",right,30/06/2022,2022,Centre Forward,Striker,3.15,54,2068,20,34,18,9,0,0,10,0,0,0,0,57,20,4,27,5,22,1,22,0,1,17,13,75,51,265,485,5,169,42,14,240,0,1,51,17,9,6,3,1,0,0,29,0,873,107,0,0,0,0,0,0,0,0,20,0,0,0,31,0,0,12,12,8,0,0,19,5,7,40
Jack OConnell,25,England,left,30/06/2023,2023,Centre Back,Defender,5.85,11,990,11,0,0,2,0,0,0,1,0,0,1,7,1,16,8,2,5,2,4,0,5,9,8,5,8,347,467,2,52,53,2,70,1,0,7,1,0,0,0,0,0,0,2,0,648,16,0,0,0,0,0,0,0,0,4,0,0,0,8,5,0,62,62,33,1,1,0,0,0,5
James McArthur,32,Scotland,both,30/06/2021,2021,Central Midfield,Midfielder,6.3,109,8299,96,13,43,18,0,0,13,11,0,11,0,93,26,118,59,14,79,12,68,0,34,224,155,162,102,2882,3653,14,131,588,74,528,0,3,71,23,12,22,3,1,0,1,134,0,5194,238,0,0,0,0,0,0,2,1,32,0,0,0,130,16,1,111,109,166,4,0,6,6,8,103
James McCarthy,29,Ireland  Scotland,right,30/06/2022,2022,Central Midfield,Midfielder,4.5,24,973,11,13,9,3,0,0,1,1,0,1,0,8,4,18,8,1,8,0,7,0,5,38,25,15,13,322,423,1,16,55,9,75,1,0,5,2,1,3,2,0,0,0,5,0,613,8,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,12,10,22,0,0,0,0,0,12
John McGinn,25,Scotland,left,30/06/2024,2024,Central Midfield,Midfielder,5.85,11,990,11,0,0,1,0,0,3,2,0,1,1,32,14,13,26,7,15,3,12,1,0,31,20,14,30,241,299,5,5,69,29,95,0,0,13,8,3,19,6,0,0,0,29,0,581,35,0,0,0,0,3,1,10,8,11,1,0,0,18,2,0,9,9,33,1,0,0,3,2,41
