Player,DOB,Age,Height,Country,Foot,ContractExp
kingsley-coman,"Jun 13, 1996",23,"1,79 m",France  Guadeloupe,right,30.06.2023
filip-kostic,"Nov 1, 1992",27,"1,84 m",Serbia,left,30.06.2023
thomas-kessler,"Jan 20, 1986",33,"1,97 m",Germany,right,30.06.2020
marvin-friedrich,"Dec 13, 1995",23,"1,92 m",Germany,right,30.06.2022
niklas-stark,"Apr 14, 1995",24,"1,90 m",Germany,right,30.06.2022
niclas-thiede,"Apr 14, 1999",20,"1,85 m",Germany,both,-
torben-musel,"Jul 25, 1999",20,"1,85 m",Germany,right,30.06.2020
dedryck-boyata,"Nov 28, 1990",28,"1,88 m",Belgium  DR Congo,right,30.06.2022
evan-ndicka,"Aug 20, 1999",20,"1,92 m",France  Cameroon,left,30.06.2023
salif-sane,"Aug 25, 1990",29,"1,96 m",Senegal  France,right,30.06.2022
cyrill-akono,"Feb 29, 2000",19,"1,90 m",Germany  Cameroon,left,30.06.2023
daichi-kamada,"Aug 5, 1996",23,"1,80 m",Japan,right,30.06.2021
andre-silva,"Nov 6, 1995",24,"1,88 m",Portugal,right,30.06.2021
stefanos-kapino,"Mar 18, 1994",25,"1,96 m",Greece,right,-
leonardo-bittencourt,"Dec 19, 1993",25,"1,70 m",Germany  Brazil,right,30.06.2020
jiri-pavlenka,"Apr 14, 1992",27,"1,96 m",Czech Republic,right,30.06.2021
anthony-modeste,"Apr 14, 1988",31,"1,87 m",France  Martinique,right,30.06.2023
ken-reichel,"Dec 19, 1986",32,"1,85 m",Germany,left,30.06.2020
ahmed-kutucu,"Mar 1, 2000",19,"1,81 m",Turkey  Germany,right,30.06.2022
axel-witsel,"Jan 12, 1989",30,"1,88 m",Belgium  Martinique,right,30.06.2022
christoph-baumgartner,"Aug 1, 1999",20,"1,78 m",Austria,right,30.06.2023
mike-frantz,"Oct 14, 1986",33,"1,82 m",Germany,left,-
marlon-ritter,"Oct 15, 1994",25,"1,74 m",Germany,both,30.06.2021
christian-gross,"Feb 8, 1989",30,"1,82 m",Germany,both,30.06.2021
michael-gregoritsch,"Apr 18, 1994",25,"1,93 m",Austria,left,30.06.2022
brandon-borrello,"Jul 25, 1995",24,"1,77 m",Australia  Italy,right,30.06.2022
rouwen-hennings,"Aug 28, 1987",32,"1,80 m",Germany,left,-
janik-haberer,"Apr 2, 1994",25,"1,86 m",Germany,right,30.06.2020
philipp-ochs,"Apr 17, 1997",22,"1,75 m",Germany  Kazakhstan,left,30.06.2020
alessandro-schopf,"Feb 7, 1994",25,"1,78 m",Austria,right,30.06.2021
dong-won-ji,"May 28, 1991",28,"1,87 m","Korea, South",right,30.06.2022
ron-thorben-hoffmann,"Apr 4, 1999",20,"1,92 m",Germany,right,30.06.2021
benjamin-leneis,"Mar 8, 1999",20,"1,95 m",Germany,both,30.06.2023
ilia-gruev,"May 6, 2000",19,"1,85 m",Bulgaria  Germany,right,30.06.2020
marcelo-saracchi,"Apr 23, 1998",21,"1,72 m",Uruguay,left,30.06.2023
karim-bellarabi,"Apr 8, 1990",29,"1,84 m",Germany  Morocco,right,30.06.2021
levin-oztunali,"Mar 15, 1996",23,"1,85 m",Germany  Turkey,right,30.06.2021
claudio-pizarro,"Oct 3, 1978",41,"1,84 m",Peru  Italy,right,30.06.2020
dominik-bilogrevic,"Jan 2, 1999",20,NaN,Croatia  Germany,NaN,30.06.2021
martin-hinteregger,"Sep 7, 1992",27,"1,86 m",Austria,left,30.06.2024
alexander-esswein,"Mar 25, 1990",29,"1,82 m",Germany,right,30.06.2020
jan-zimmermann,"Apr 19, 1985",34,"1,90 m",Germany,left,30.06.2021
lewis-baker,"Apr 25, 1995",24,"1,82 m",England  Jamaica,right,30.06.2020
alfredo-morales,"May 12, 1990",29,"1,83 m",United States  Germany,right,30.06.2021
oliver-baumann,"Jun 2, 1990",29,"1,87 m",Germany,right,30.06.2021
marijan-cavar,"Feb 2, 1998",21,"1,84 m",Bosnia-Herzegovina  Croatia,right,30.06.2021
alassane-plea,"Mar 10, 1993",26,"1,81 m",France  Mali,right,30.06.2023
sebastian-vasiliadis,"Oct 4, 1997",22,"1,77 m",Greece  Germany,right,30.06.2021
lukasz-piszczek,"Jun 3, 1985",34,"1,84 m",Poland,right,30.06.2020
kevin-mbabu,"Apr 19, 1995",24,"1,84 m",Switzerland  DR Congo,right,30.06.2023
salomon-kalou,"Aug 5, 1985",34,"1,84 m",Cote d'Ivoire,right,30.06.2020
yannick-gerhardt,"Mar 13, 1994",25,"1,84 m",Germany,left,30.06.2021
yann-sommer,"Dec 17, 1988",30,"1,83 m",Switzerland,right,30.06.2021
jeffrey-bruma,"Nov 13, 1991",28,"1,89 m",Netherlands  Suriname,right,30.06.2021
kai-havertz,"Jun 11, 1999",20,"1,89 m",Germany,left,30.06.2022
stefan-bell,"Aug 24, 1991",28,"1,92 m",Germany,right,30.06.2020
julius-kade,"May 20, 1999",20,"1,82 m",Germany,left,30.06.2021
julian-brandt,"May 2, 1996",23,"1,86 m",Germany,right,30.06.2024
dayot-upamecano,"Oct 27, 1998",21,"1,86 m",France  Guinea-Bissau,right,30.06.2021
babacar-gueye,"Dec 31, 1994",24,"1,90 m",Senegal,right,30.06.2020
kevin-volland,"Jul 30, 1992",27,"1,79 m",Germany,left,30.06.2021
marco-terrazzino,"Apr 15, 1991",28,"1,77 m",Germany  Italy,right,30.06.2020
roman-burki,"Nov 14, 1990",29,"1,87 m",Switzerland,right,30.06.2021
kasim-adams,"Jun 22, 1995",24,"1,90 m",Ghana,right,30.06.2020
mohamed-drager,"Jun 25, 1996",23,"1,80 m",Tunisia  Germany,right,30.06.2020
