Player,DOB,Age,Height,Country,Foot,ContractExp
cristian-ganea,"May 24, 1992",27,"1,76 m",Romania  Spain,left,30.06.2021
andres-fernandez,"Dec 17, 1986",32,"1,85 m",Spain,right,30.06.2021
oliver-torres,"Nov 10, 1994",25,"1,75 m",Spain,right,30.06.2024
sergi-guardiola,"May 29, 1991",28,"1,85 m",Spain,right,30.06.2023
amath-ndiaye,"Jul 16, 1996",23,"1,73 m",Senegal,right,30.06.2022
sergio-postigo,"Nov 4, 1988",31,"1,85 m",Spain,right,30.06.2021
jonathan-silva,"Jun 29, 1994",25,"1,81 m",Argentina  Italy,left,30.06.2023
jose-angel,"Sep 5, 1989",30,"1,82 m",Spain,left,30.06.2020
juan-villar,"May 19, 1988",31,"1,82 m",Spain,right,30.06.2021
oihan-sancet,"Apr 25, 2000",19,"1,88 m",Spain,right,30.06.2022
thomas-lemar,"Nov 12, 1995",24,"1,71 m",France  Guadeloupe,left,30.06.2023
facundo-ferreyra,"Mar 14, 1991",28,"1,83 m",Argentina  Italy,right,30.06.2020
jason,"Jul 6, 1994",25,"1,78 m",Spain,right,30.06.2020
jan-oblak,"Jan 7, 1993",26,"1,88 m",Slovenia,right,30.06.2023
oier-olazabal,"Sep 14, 1989",30,"1,89 m",Spain,left,30.06.2021
anuar,"Jan 15, 1995",24,"1,73 m",Morocco  Spain,NaN,30.06.2021
santi-mina,"Dec 7, 1995",23,"1,81 m",Spain,right,30.06.2024
sergio-herrera,"Jun 5, 1993",26,"1,92 m",Spain,NaN,30.06.2021
marco-asensio,"Jan 21, 1996",23,"1,82 m",Spain  Netherlands,left,30.06.2023
jonathan-calleri,"Sep 23, 1993",26,"1,81 m",Argentina  Italy,right,30.06.2020
ivan-rakitic,"Mar 10, 1988",31,"1,84 m",Croatia  Switzerland,right,30.06.2021
jaume-costa,"Mar 18, 1988",31,"1,71 m",Spain,left,30.06.2020
javi-moyano,"Feb 23, 1986",33,"1,80 m",Spain,right,30.06.2020
rafa-navarro,"Feb 23, 1994",25,"1,73 m",Spain,right,30.06.2021
jordi-masip,"Jan 3, 1989",30,"1,80 m",Spain,right,30.06.2022
alex-martinez,"Aug 12, 1990",29,"1,76 m",Spain,left,30.06.2021
lluis-lopez,"Mar 5, 1997",22,"1,82 m",Spain,right,30.06.2022
adrian-lopez,"Jan 8, 1988",31,"1,83 m",Spain,right,30.06.2020
pione-sisto,"Feb 4, 1995",24,"1,72 m",Denmark  Southern Sudan,right,30.06.2021
santiago-caseres,"Feb 25, 1997",22,"1,77 m",Argentina,right,30.06.2023
luismi,"May 5, 1992",27,"1,79 m",Spain,right,30.06.2021
jon-moncayola,"May 13, 1998",21,NaN,Spain,NaN,30.06.2021
diego-lainez,"Jun 9, 2000",19,"1,67 m",Mexico,left,30.06.2024
hernani,"Aug 20, 1991",28,"1,80 m",Portugal  Cape Verde,left,30.06.2022
ivan-villar,"Jul 9, 1997",22,"1,89 m",Spain,right,30.06.2023
gerard-moreno,"Apr 7, 1992",27,"1,80 m",Spain,left,30.06.2023
aleksandar-sedlar,"Dec 13, 1991",27,"1,80 m",Serbia,NaN,30.06.2023
lionel-messi,"Jun 24, 1987",32,"1,70 m",Argentina  Spain,left,30.06.2021
daniel-carrico,"Aug 4, 1988",31,"1,80 m",Portugal,right,30.06.2020
luis-rioja,"Oct 16, 1993",26,"1,76 m",Spain,left,30.06.2023
kike-barja,"Apr 4, 1997",22,"1,79 m",Spain,right,30.06.2021
ismail-koybasi,"Jul 10, 1989",30,"1,79 m",Turkey,left,30.06.2020
ivan-ramis,"Oct 25, 1984",35,"1,89 m",Spain,right,30.06.2020
aissa-mandi,"Oct 22, 1991",28,"1,84 m",Algeria  France,right,30.06.2021
borja-mayoral,"Apr 5, 1997",22,"1,82 m",Spain,right,30.06.2020
yeray-alvarez,"Jan 24, 1995",24,"1,82 m",Spain,right,30.06.2026
ander-barrenetxea,"Dec 27, 2001",17,NaN,Spain,NaN,30.06.2025
denis-suarez,"Jan 6, 1994",25,"1,76 m",Spain,right,30.06.2023
sergi-enrich,"Feb 26, 1990",29,"1,81 m",Spain,right,30.06.2022
carlos-fernandez,"May 22, 1996",23,"1,85 m",Spain,left,30.06.2020
zouhair-feddal,"Dec 23, 1989",29,"1,92 m",Morocco  Spain,left,30.06.2021
renan-lodi,"Apr 8, 1998",21,"1,79 m",Brazil,left,30.06.2025
karim-benzema,"Dec 19, 1987",31,"1,84 m",France  Algeria,both,30.06.2021
jorge-saenz,"Nov 17, 1996",22,"1,90 m",Spain,right,30.06.2021
jose-campana,"May 31, 1993",26,"1,79 m",Spain,right,30.06.2023
joseph-aidoo,"Sep 29, 1995",24,"1,84 m",Ghana,right,30.06.2024
samuel-umtiti,"Nov 14, 1993",26,"1,82 m",France  Cameroon,left,30.06.2023
wilfrid-kaptoum,"Jul 7, 1996",23,"1,70 m",Cameroon,right,30.06.2020
sergi-darder,"Dec 22, 1993",25,"1,80 m",Spain,right,30.06.2023
ferran-torres,"Feb 29, 2000",19,"1,84 m",Spain,right,30.06.2021
xavi-quintilla,"Aug 23, 1996",23,"1,79 m",Spain,left,30.06.2020
nacho-vidal,"Jan 24, 1995",24,"1,80 m",Spain,right,30.06.2022
david-lopez,"Oct 9, 1989",30,"1,85 m",Spain,right,30.06.2023
ramiro-funes-mori,"Mar 5, 1991",28,"1,86 m",Argentina,left,30.06.2022
benat-etxebarria,"Feb 19, 1987",32,"1,76 m",Spain,right,30.06.2020
david-zurutuza,"Jul 19, 1986",33,"1,86 m",Spain  France,right,30.06.2020
sergio-reguilon,"Dec 16, 1996",22,"1,78 m",Spain,left,30.06.2020
diego-costa,"Oct 7, 1988",31,"1,86 m",Spain  Brazil,right,30.06.2021
unai-lopez,"Oct 30, 1995",24,"1,70 m",Spain,right,30.06.2022
tachi,"Sep 10, 1997",22,"1,84 m",Spain,right,30.06.2023
fabian-orellana,"Jan 27, 1986",33,"1,71 m",Chile,right,30.06.2020
marcelo,"May 12, 1988",31,"1,74 m",Brazil  Spain,left,30.06.2022
tono,"Nov 7, 1989",30,"1,80 m",Spain,left,30.06.2023
nemanja-maksimovic,"Jan 26, 1995",24,"1,84 m",Serbia,right,30.06.2024
kenedy,"Feb 8, 1996",23,"1,80 m",Brazil,left,30.06.2020
raphael-varane,"Apr 25, 1993",26,"1,91 m",France  Martinique,right,30.06.2022
oscar-de-marcos,"Apr 14, 1989",30,"1,82 m",Spain,right,30.06.2021
pervis-estupinan,"Jan 21, 1998",21,"1,75 m",Ecuador,left,30.06.2021
sergi-gomez,"Mar 28, 1992",27,"1,85 m",Spain,right,30.06.2022
unai-bustinza,"Feb 2, 1992",27,"1,75 m",Spain,right,30.06.2021
rodrygo,"Jan 9, 2001",18,"1,74 m",Brazil,right,30.06.2025
javi-lopez,"Jan 21, 1986",33,"1,80 m",Spain,right,30.06.2020
xisco-campos,"Mar 10, 1982",37,"1,80 m",Spain,right,30.06.2020
samu-chukwueze,"May 22, 1999",20,"1,72 m",Nigeria,left,30.06.2023
arthur,"Aug 12, 1996",23,"1,72 m",Brazil,right,30.06.2024
jorge-molina,"Apr 22, 1982",37,"1,88 m",Spain,right,30.06.2021
esteban-granero,"Jul 2, 1987",32,"1,80 m",Spain,right,30.06.2020
iago-aspas,"Aug 1, 1987",32,"1,76 m",Spain,left,30.06.2023
enric-gallego,"Sep 12, 1986",33,"1,90 m",Spain,left,30.06.2022
marc-andre-ter-stegen,"Apr 30, 1992",27,"1,87 m",Germany,right,30.06.2022
markel-bergara,"May 5, 1986",33,"1,81 m",Spain,right,30.06.2020
fede-san-emeterio,"Mar 16, 1997",22,"1,76 m",Spain,right,30.06.2021
jordi-alba,"Mar 21, 1989",30,"1,70 m",Spain,left,30.06.2024
alvaro-vadillo,"Sep 12, 1994",25,"1,80 m",Spain,right,30.06.2020
rodrigo-tarin,"Jul 5, 1996",23,"1,83 m",Spain,right,30.06.2021
marc-navarro,"Jul 2, 1995",24,"1,88 m",Spain,right,30.06.2020
jose-antonio-martinez,"Feb 12, 1993",26,"1,91 m",Spain,left,30.06.2020
kevin-gameiro,"May 9, 1987",32,"1,72 m",France,right,30.06.2021
oier,"May 25, 1986",33,"1,78 m",Spain,right,30.06.2021
leandro-cabrera,"Jun 17, 1991",28,"1,88 m",Uruguay  Spain,left,30.06.2021
raul-navas,"May 11, 1988",31,"1,87 m",Spain,right,30.06.2020
yan-brice,"Aug 26, 1997",22,"1,82 m",Cameroon  Spain,right,30.06.2022
vitorino-antunes,"Apr 1, 1987",32,"1,75 m",Portugal,left,30.06.2020
jaime-mata,"Oct 24, 1988",31,"1,86 m",Spain,right,30.06.2021
recio,"Jan 11, 1991",28,"1,83 m",Spain,right,30.06.2022
matias-vargas,"May 8, 1997",22,"1,68 m",Argentina,right,30.06.2024
geoffrey-kondogbia,"Feb 15, 1993",26,"1,88 m",Central African Republic  France,left,30.06.2022
federico-valverde,"Jul 22, 1998",21,"1,82 m",Uruguay  Spain,right,30.06.2021
aitor-ruibal,"Mar 22, 1996",23,"1,76 m",Spain,right,30.06.2020
enes-unal,"May 10, 1997",22,"1,87 m",Turkey,right,30.06.2020
marko-dmitrovic,"Jan 24, 1992",27,"1,94 m",Serbia,left,30.06.2021
oliver-burke,"Apr 7, 1997",22,"1,88 m",Scotland,right,30.06.2022
pedro-porro,"Sep 13, 1999",20,"1,76 m",Spain,right,30.06.2020
sebastien-corchia,"Nov 1, 1990",29,"1,75 m",France  Italy,right,30.06.2020
munir-el-haddadi,"Sep 1, 1995",24,"1,75 m",Spain  Morocco,left,30.06.2023
ruben-alcaraz,"May 1, 1991",28,"1,83 m",Spain,right,30.06.2022
aleix-vidal,"Aug 21, 1989",30,"1,77 m",Spain,right,30.06.2020
loren-moron,"Dec 30, 1993",25,"1,85 m",Spain,right,30.06.2022
aitor-fernandez,"May 3, 1991",28,"1,82 m",Spain,right,30.06.2023
yannis-salibur,"Jan 24, 1991",28,"1,77 m",France  DR Congo,left,30.06.2022
fernando,"Jul 25, 1987",32,"1,83 m",Brazil  Portugal,right,30.06.2022
vicente-iborra,"Jan 16, 1988",31,"1,90 m",Spain,right,30.06.2023
burgui,"Oct 29, 1993",26,"1,84 m",Spain,right,30.06.2021
oscar-plano,"Feb 11, 1991",28,"1,79 m",Spain,both,30.06.2021
tomas-vaclik,"Mar 29, 1989",30,"1,88 m",Czech Republic,right,30.06.2021
sergio-leon,"Jan 6, 1989",30,"1,76 m",Spain,right,30.06.2022
domingos-duarte,"Mar 10, 1995",24,"1,92 m",Portugal,right,30.06.2023
robin-le-normand,"Nov 11, 1996",23,"1,87 m",France,right,30.06.2022
eden-hazard,"Jan 7, 1991",28,"1,75 m",Belgium,both,30.06.2024
john-guidetti,"Apr 15, 1992",27,"1,85 m",Sweden,right,30.06.2022
arturo-vidal,"May 22, 1987",32,"1,80 m",Chile,right,30.06.2021
inigo-lekue,"May 4, 1993",26,"1,80 m",Spain,right,30.06.2023
adnan-januzaj,"Feb 5, 1995",24,"1,86 m",Belgium  Kosovo,left,30.06.2022
chicharito,"Jun 1, 1988",31,"1,75 m",Mexico,right,30.06.2022
edu-exposito,"Aug 1, 1996",23,"1,78 m",Spain,right,30.06.2024
sidnei,"Aug 23, 1989",30,"1,85 m",Brazil  Spain,right,30.06.2022
andoni-zubiaurre,"Dec 4, 1996",22,"1,89 m",Spain,left,30.06.2022
antoine-griezmann,"Mar 21, 1991",28,"1,76 m",France,left,30.06.2024
victor-laguardia,"Nov 5, 1989",30,"1,85 m",Spain,right,30.06.2022
ferland-mendy,"Jun 8, 1995",24,"1,80 m",France  Senegal,left,30.06.2025
gonzalo-melero,"Jan 2, 1994",25,"1,83 m",Spain,right,30.06.2023
fran-gamez,"Jul 27, 1991",28,"1,74 m",Spain,right,30.06.2022
joaquin,"Jul 21, 1981",38,"1,81 m",Spain,right,30.06.2020
christian-rivera,"Jul 9, 1997",22,"1,91 m",Spain,right,30.06.2020
tomas-pina,"Oct 14, 1987",32,"1,85 m",Spain,right,30.06.2021
moi-gomez,"Jun 23, 1994",25,"1,76 m",Spain,right,30.06.2023
joel-robles,"Jun 17, 1990",29,"1,97 m",Spain,right,30.06.2022
kiko-olivas,"Aug 21, 1988",31,"1,84 m",Spain,right,30.06.2022
joseba-zaldua,"Jun 24, 1992",27,"1,76 m",Spain,right,30.06.2023
