Player,DOB,Age,Height,Country,Foot,ContractExp
matz-sels,"Feb 26, 1992",27,"1,88 m",Belgium,right,30.06.2024
irvin-cardona,"Aug 8, 1997",22,"1,85 m",France,right,30.06.2023
miguel-trauco,"Aug 25, 1992",27,"1,75 m",Peru,left,30.06.2022
robert-beric,"Jun 17, 1991",28,"1,88 m",Slovenia,right,30.06.2022
mathias-suarez,"Jun 24, 1996",23,"1,82 m",Uruguay,right,30.06.2023
ryad-boudebouz,"Feb 19, 1990",29,"1,77 m",Algeria  France,left,30.06.2022
moussa-diarra,"Nov 10, 2000",19,"1,83 m",France  Mali,left,30.06.2022
mama-balde,"Nov 6, 1995",24,"1,81 m",Guinea-Bissau  Portugal,right,30.06.2022
thiago-silva,"Sep 22, 1984",35,"1,83 m",Brazil  France,right,30.06.2020
lucas-buades,"Dec 28, 1997",21,"1,81 m",France,right,-
cristian-benavente,"May 19, 1994",25,"1,72 m",Peru  Spain,left,30.06.2020
gaetan-poussin,"Jan 13, 1999",20,"1,86 m",France,right,30.06.2023
thody-elie-youan,"Apr 7, 1999",20,"1,81 m",France  Cote d'Ivoire,right,30.06.2022
mamadou-fofana,"Jan 21, 1998",21,"1,86 m",Mali,right,30.06.2022
hichem-boudaoui,"Sep 23, 1999",20,"1,73 m",Algeria,right,30.06.2023
damien-da-silva,"May 17, 1988",31,"1,84 m",France  Portugal,right,30.06.2021
vlatko-stojanovski,"Apr 23, 1997",22,"1,86 m",North Macedonia,right,30.06.2022
sami-lahssaini,"Sep 18, 1998",21,"1,77 m",Belgium  Morocco,right,30.06.2022
raoul-bellanova,"May 17, 2000",19,"1,85 m",Italy,right,30.06.2022
jakob-johansson,"Jun 21, 1990",29,"1,87 m",Sweden,right,30.06.2020
steve-mandanda,"Mar 28, 1985",34,"1,85 m",France  DR Congo,right,30.06.2021
faitout-maouassa,"Jul 6, 1998",21,"1,70 m",Congo  France,left,30.06.2021
gerzino-nyamsi,"Jan 22, 1997",22,"1,94 m",France  Cameroon,right,30.06.2024
souleyman-doumbia,"Sep 24, 1996",23,"1,83 m",Cote d'Ivoire  France,left,30.06.2022
didier-ndong,"Jun 17, 1994",25,"1,79 m",Gabon,right,30.06.2023
yann-gboho,"Jan 14, 2001",18,"1,78 m",France  Cote d'Ivoire,right,30.06.2021
adrien-tameze,"Feb 4, 1994",25,"1,80 m",France  Cameroon,right,30.06.2021
adil-taoui,"Aug 10, 2001",18,"1,79 m",France  Algeria,right,30.06.2021
loick-landre,"May 5, 1992",27,"1,82 m",France  Guadeloupe,right,30.06.2021
sofiane-alakouch,"Jul 29, 1998",21,"1,75 m",France  Morocco,right,30.06.2021
arber-zeneli,"Feb 25, 1995",24,"1,76 m",Kosovo  Sweden,right,30.06.2023
anastasios-donis,"Aug 29, 1996",23,"1,78 m",Greece  England,right,30.06.2020
jeremy-gelin,"Apr 24, 1997",22,"1,83 m",France,right,30.06.2022
boubacar-fofana,"Sep 7, 1998",21,NaN,France,both,30.06.2023
bruno-ecuele-manga,"Jul 16, 1988",31,"1,86 m",Gabon  France,right,30.06.2022
yohan-cabaye,"Jan 14, 1986",33,"1,73 m",France,right,30.06.2020
stiven-mendoza,"Jun 27, 1992",27,"1,72 m",Colombia,left,31.12.2021
kayembe,"Aug 8, 1994",25,"1,82 m",Belgium  DR Congo,left,30.06.2021
matheus-pereira,"Feb 25, 1998",21,"1,81 m",Brazil,left,30.06.2020
josh-maja,"Dec 27, 1998",20,"1,80 m",Nigeria  England,right,30.06.2023
vitorino-hilton,"Sep 13, 1977",42,"1,80 m",Brazil,right,30.06.2020
serhou-guirassy,"Mar 12, 1996",23,"1,87 m",France  Guinea,right,30.06.2022
wylan-cyprien,"Jan 28, 1995",24,"1,80 m",France  Guadeloupe,right,30.06.2021
danijel-petkovic,"May 25, 1993",26,"1,96 m",Montenegro,right,30.06.2022
idrissa-gueye,"Sep 26, 1989",30,"1,74 m",Senegal,right,30.06.2023
walter-benitez,"Jan 19, 1993",26,"1,93 m",Argentina,right,30.06.2020
lucas-tousart,"Apr 29, 1997",22,"1,85 m",France,right,30.06.2023
ludovic-butelle,"Apr 3, 1983",36,"1,88 m",France,left,30.06.2021
cesc-fabregas,"May 4, 1987",32,"1,79 m",Spain,right,30.06.2022
ui-jo-hwang,"Aug 28, 1992",27,"1,85 m","Korea, South",both,30.06.2023
quentin-boisgard,"Mar 17, 1997",22,"1,74 m",France,right,30.06.2020
farid-el-melali,"May 5, 1997",22,"1,68 m",Algeria,both,30.06.2023
edouard-mendy,"Mar 1, 1992",27,"1,97 m",Senegal  Guinea-Bissau,right,30.06.2023
boubakary-soumare,"Feb 27, 1999",20,"1,88 m",France  Senegal,right,30.06.2020
boubacar-traore,"Aug 20, 2001",18,"1,83 m",Mali,NaN,30.06.2024
ludovic-ajorque,"Feb 25, 1994",25,"1,97 m",France  Madagascar,right,30.06.2022
jordan-lefort,"Aug 9, 1993",26,"1,84 m",France,left,30.06.2021
imran-louza,"May 1, 1999",20,"1,78 m",France  Morocco,left,30.06.2024
theo-pellenard,"Mar 4, 1994",25,"1,82 m",France,left,30.06.2020
ismael-aaneba,"May 29, 1999",20,"1,82 m",France  Morocco,right,30.06.2020
kevin-monnet-paquet,"Aug 19, 1988",31,"1,84 m",France  Rwanda,right,30.06.2021
enzo-loiodice,"Nov 27, 2000",18,"1,76 m",France,right,30.06.2021
angelo-fulgini,"Aug 20, 1996",23,"1,83 m",France,right,30.06.2021
adil-aouchiche,"Jul 15, 2002",17,"1,81 m",France  Algeria,right,30.06.2020
mathieu-goncalves,"Jun 8, 2001",18,"1,78 m",France  Brazil,left,30.06.2021
bridge-ndilu,"Jul 21, 2000",19,"1,86 m",France,right,30.06.2024
benjamin-lecomte,"Apr 26, 1991",28,"1,86 m",France,left,30.06.2024
florian-thauvin,"Jan 26, 1993",26,"1,79 m",France,left,30.06.2021
seydou-sy,"Dec 12, 1995",23,"1,92 m",Senegal,right,30.06.2020
batista-mendy,"Jan 12, 2000",19,"1,91 m",France,right,30.06.2021
jonas-martin,"Apr 9, 1990",29,"1,84 m",France,right,30.06.2022
marvin-gakpa,"Nov 1, 1993",26,"1,82 m",France  Algeria,right,30.06.2021
loic-remy,"Jan 2, 1987",32,"1,85 m",France,right,30.06.2020
mauro-goicoechea,"Mar 27, 1988",31,"1,86 m",Uruguay  Italy,right,30.06.2021
jack-lahne,"Oct 24, 2001",18,"1,74 m",Sweden  Zambia,right,-
younousse-sankhare,"Sep 10, 1989",30,"1,84 m",Senegal  France,left,30.06.2021
fabio,"Jul 9, 1990",29,"1,72 m",Brazil  Portugal,both,30.06.2021
marcin-bulka,"Oct 4, 1999",20,"1,99 m",Poland,right,30.06.2021
racine-coly,"Dec 8, 1995",23,"1,85 m",Senegal,left,30.06.2022
yannis-clementia,"Jul 5, 1997",22,"1,88 m",France  Martinique,right,-
otavio,"May 4, 1994",25,"1,76 m",Brazil,right,30.06.2021
mbaye-niang,"Dec 19, 1994",24,"1,88 m",Senegal  France,right,30.06.2023
jemerson,"Aug 24, 1992",27,"1,84 m",Brazil,right,30.06.2020
vukasin-jovanovic,"May 17, 1996",23,"1,88 m",Serbia,right,30.06.2021
pablo,"Jun 21, 1991",28,"1,88 m",Brazil,right,30.06.2021
abdallah-ndour,"Dec 20, 1993",25,"1,86 m",Senegal,left,30.06.2020
senou-coulibaly,"Sep 4, 1994",25,"1,93 m",France  Mali,right,30.06.2020
mapou-yanga-mbiwa,"May 15, 1989",30,"1,84 m",France  Central African Republic,right,30.06.2020
hiroki-sakai,"Apr 12, 1990",29,"1,83 m",Japan,right,30.06.2022
ibrahima-niane,"Mar 11, 1999",20,"1,87 m",Senegal,right,30.06.2022
ibrahima-diallo,"Mar 8, 1999",20,"1,80 m",France  Senegal,left,30.06.2023
nolan-mbemba,"Feb 19, 1995",24,"1,81 m",France  DR Congo,right,30.06.2021
junior-sambia,"Sep 7, 1996",23,"1,85 m",France  Central African Republic,right,30.06.2022
