Player,DOB,Age,Height,Country,Foot,ContractExp
bernardo-silva,"Aug 10, 1994",25,"1,73 m",Portugal,left,30.06.2025
gaetan-bong,"Apr 25, 1988",31,"1,83 m",Cameroon  France,left,30.06.2020
arnaut-danjuma,"Jan 31, 1997",22,"1,78 m",Netherlands  Nigeria,right,30.06.2024
junior-stanislas,"Nov 26, 1989",29,"1,83 m",England  St. Lucia,right,30.06.2021
mohamed-salah,"Jun 15, 1992",27,"1,75 m",Egypt,left,30.06.2023
tammy-abraham,"Oct 2, 1997",22,"1,91 m",England  Nigeria,right,30.06.2022
bukayo-saka,"Sep 5, 2001",18,"1,78 m",England  Ghana,left,-
rodri,"Jun 22, 1996",23,"1,91 m",Spain,right,30.06.2024
willy-caballero,"Sep 28, 1981",38,"1,86 m",Argentina  Spain,right,30.06.2020
luke-shaw,"Jul 12, 1995",24,"1,81 m",England,left,30.06.2023
ederson,"Aug 17, 1993",26,"1,88 m",Brazil  Portugal,left,30.06.2025
willian,"Aug 9, 1988",31,"1,75 m",Brazil,right,30.06.2020
albian-ajeti,"Feb 26, 1997",22,"1,83 m",Switzerland  Albania,right,30.06.2023
andre-gomes,"Jul 30, 1993",26,"1,88 m",Portugal,right,30.06.2024
adrian-mariappa,"Oct 3, 1986",33,"1,79 m",Jamaica  England,right,30.06.2020
trent-alexander-arnold,"Oct 7, 1998",21,"1,80 m",England,right,30.06.2024
dion-henry,"Sep 12, 1997",22,"1,92 m",England,NaN,30.06.2019
sam-mcqueen,"Feb 6, 1995",24,"1,81 m",England,left,30.06.2021
aaron-wan-bissaka,"Nov 26, 1997",21,"1,83 m",England  DR Congo,right,30.06.2024
matthew-lowton,"Jun 9, 1989",30,"1,80 m",England,right,30.06.2021
javier-manquillo,"May 5, 1994",25,"1,78 m",Spain,right,30.06.2020
danny-drinkwater,"Mar 5, 1990",29,"1,77 m",England,right,06.01.2020
solly-march,"Jul 20, 1994",25,"1,80 m",England,left,30.06.2022
virgil-van-dijk,"Jul 8, 1991",28,"1,93 m",Netherlands  Suriname,right,30.06.2023
erik-pieters,"Aug 7, 1988",31,"1,83 m",Netherlands,left,30.06.2021
shane-long,"Jan 22, 1987",32,"1,80 m",Ireland,both,30.06.2020
nicolas-otamendi,"Feb 12, 1988",31,"1,83 m",Argentina,right,30.06.2022
stuart-armstrong,"Mar 30, 1992",27,"1,83 m",Scotland,right,30.06.2022
emiliano-martinez,"Sep 2, 1992",27,"1,90 m",Argentina,right,30.06.2022
ryan-sessegnon,"May 18, 2000",19,"1,78 m",England,left,30.06.2025
yan-valery,"Feb 22, 1999",20,"1,80 m",France  Tunisia,right,30.06.2023
nampalys-mendy,"Jun 23, 1992",27,"1,67 m",France  Senegal,right,30.06.2020
paul-dummett,"Sep 26, 1991",28,"1,83 m",Wales  England,left,30.06.2022
aaron-connolly,"Jan 28, 2000",19,"1,75 m",Ireland,NaN,30.06.2022
connor-wickham,"Mar 31, 1993",26,"1,89 m",England  Northern Ireland,right,30.06.2021
pascal-gross,"Jun 15, 1991",28,"1,81 m",Germany,right,30.06.2022
christian-pulisic,"Sep 18, 1998",21,"1,72 m",United States  Croatia,right,30.06.2024
roberto,"Feb 10, 1986",33,"1,92 m",Spain,right,30.06.2021
jeff-hendrick,"Jan 31, 1992",27,"1,85 m",Ireland,right,30.06.2020
tom-trybull,"Mar 9, 1993",26,"1,81 m",Germany,right,30.06.2022
harry-kane,"Jul 28, 1993",26,"1,88 m",England,right,30.06.2024
paul-pogba,"Mar 15, 1993",26,"1,91 m",France,both,30.06.2021
