Player,DOB,Age,Height,Country,Foot,ContractExp
vlad-chiriches,"Nov 14, 1989",30,"1,84 m",Romania,right,30.06.2020
bruno-alves,"Nov 27, 1981",37,"1,89 m",Portugal  Brazil,right,30.06.2020
hernani,"Mar 27, 1994",25,"1,88 m",Brazil,both,30.06.2020
leonardo-bonucci,"May 1, 1987",32,"1,90 m",Italy,right,30.06.2023
sebastiano-luperto,"Sep 6, 1996",23,"1,91 m",Italy,left,30.06.2023
riccardo-fiamozzi,"May 18, 1993",26,"1,75 m",Italy,right,30.06.2021
sami-khedira,"Apr 4, 1987",32,"1,89 m",Germany  Tunisia,right,30.06.2021
marash-kumbulla,"Feb 8, 2000",19,"1,85 m",Albania  Italy,right,30.06.2022
kevin-lasagna,"Aug 10, 1992",27,"1,81 m",Italy,left,30.06.2023
senad-lulic,"Jan 18, 1986",33,"1,83 m",Bosnia-Herzegovina  Switzerland,right,30.06.2020
martin-caceres,"Apr 7, 1987",32,"1,80 m",Uruguay,right,30.06.2020
sandro,"Mar 15, 1989",30,"1,87 m",Brazil  Portugal,right,30.06.2021
matteo-darmian,"Dec 2, 1989",29,"1,83 m",Italy,right,30.06.2023
bobby-duncan,"Jun 26, 2001",18,"1,76 m",England,left,30.06.2022
nicolas,"Apr 12, 1988",31,"1,90 m",Brazil  Italy,right,30.06.2021
giacomo-bonaventura,"Aug 22, 1989",30,"1,80 m",Italy,right,30.06.2020
sergej-milinkovic-savic,"Feb 27, 1995",24,"1,91 m",Serbia  Spain,right,30.06.2024
emmanuel-badu,"Dec 2, 1990",28,"1,73 m",Ghana,right,30.06.2020
amato-ciciretti,"Dec 31, 1993",25,"1,70 m",Italy,left,30.06.2022
marten-de-roon,"Mar 29, 1991",28,"1,85 m",Netherlands,right,30.06.2021
gianluca-mancini,"Apr 17, 1996",23,"1,90 m",Italy,right,30.06.2020
lucas-paqueta,"Aug 27, 1997",22,"1,80 m",Brazil  Portugal,left,30.06.2023
cristiano-ronaldo,"Feb 5, 1985",34,"1,87 m",Portugal,both,30.06.2022
remo-freuler,"Apr 15, 1992",27,"1,81 m",Switzerland,right,30.06.2022
simone-lo-faso,"Feb 18, 1998",21,"1,81 m",Italy,both,30.06.2023
fabio-borini,"Mar 29, 1991",28,"1,80 m",Italy,right,30.06.2020
fabio-depaoli,"Apr 24, 1997",22,"1,78 m",Italy,right,30.06.2024
andrea-tabanelli,"Feb 2, 1990",29,"1,92 m",Italy,right,30.06.2020
bram-nuytinck,"May 4, 1990",29,"1,90 m",Netherlands,left,30.06.2021
