,Player,POS,Valuation
0,David de Gea,Goalkeeper,£58.50m
3,Sergio Romero,Goalkeeper,£3.15m
6,Lee Grant,Goalkeeper,£675k
9,Harry Maguire,Centre-Back,£63.00m
12,Victor Lindelöf,Centre-Back,£31.50m
15,Eric Bailly,Centre-Back,£22.50m
18,Phil Jones,Centre-Back,£13.50m
21,Marcos Rojo,Centre-Back,£9.00m
24,Axel Tuanzebe,Centre-Back,£6.30m
27,Luke Shaw,Left-Back,£27.00m
30,Ashley Young,Left-Back,£4.50m
33,Aaron Wan-Bissaka,Right-Back,£36.00m
36,Diogo Dalot,Right-Back,£18.00m
39,Timothy Fosu-Mensah,Right-Back,£6.30m
42,Nemanja Matic,Defensive Midfield,£22.50m
45,Paul Pogba,Central Midfield,£90.00m
48,Fred,Central Midfield,£22.50m
51,Scott McTominay,Central Midfield,£18.00m
54,Juan Mata,Attacking Midfield,£18.00m
57,Andreas Pereira,Attacking Midfield,£13.50m
60,Anthony Martial,Left Winger,£54.00m
63,Daniel James,Left Winger,£22.50m
66,Jesse Lingard,Right Winger,£36.00m
69,Marcus Rashford,Centre-Forward,£72.00m
72,Mason Greenwood,Centre-Forward,£9.00m
75,Dean Henderson,Goalkeeper,£6.30m
78,Michael Verrips,Goalkeeper,£1.35m
81,Simon Moore,Goalkeeper,£315k
84,John Egan,Centre-Back,£6.30m
87,Jack O'Connell,Centre-Back,£5.85m
90,Chris Basham,Centre-Back,£2.25m
93,Phil Jagielka,Centre-Back,£900k
96,Richard Stearman,Centre-Back,£900k
99,Kean Bryan,Centre-Back,£225k
102,Enda Stevens,Left-Back,£3.15m
105,George Baldock,Right-Back,£2.70m
108,Kieron Freeman,Right-Back,£1.35m
111,Muhamed Besic,Defensive Midfield,£4.50m
114,John Fleck,Central Midfield,£4.50m
117,Oliver Norwood,Central Midfield,£4.50m
120,John Lundstram,Central Midfield,£1.80m
123,Ben Osborn,Left Midfield,£2.70m
126,Luke Freeman,Attacking Midfield,£4.50m
129,Ravel Morrison,Attacking Midfield,£900k
132,Callum Robinson,Left Winger,£6.30m
135,Ricky Holmes,Left Winger,£315k
138,Oliver McBurnie,Centre-Forward,£10.80m
141,Lys Mousset,Centre-Forward,£5.40m
144,Billy Sharp,Centre-Forward,£2.25m
147,David McGoldrick,Centre-Forward,£1.80m
150,Leon Clarke,Centre-Forward,£450k
153,Tim Krul,Goalkeeper,£3.60m
156,Ralf Fährmann,Goalkeeper,£3.60m
159,Michael McGovern,Goalkeeper,£315k
162,Ben Godfrey,Centre-Back,£8.10m
165,Christoph Zimmermann,Centre-Back,£3.15m
168,Grant Hanley,Centre-Back,£2.70m
171,Timm Klose,Centre-Back,£2.70m
174,Jamal Lewis,Left-Back,£8.10m
177,Philip Heise,Left-Back,£900k
180,Max Aarons,Right-Back,£7.20m
183,Sam Byram,Right-Back,£3.15m
186,Ibrahim Amadou,Defensive Midfield,£6.30m
189,Tom Trybull,Defensive Midfield,£3.60m
192,Alexander Tettey,Defensive Midfield,£1.80m
195,Mario Vrancic,Central Midfield,£3.15m
198,Moritz Leitner,Central Midfield,£2.70m
201,Kenny McLean,Central Midfield,£2.25m
204,Todd Cantwell,Left Midfield,£6.30m
207,Marco Stiepermann,Attacking Midfield,£3.60m
210,Onel Hernández,Left Winger,£3.60m
213,Emiliano Buendía,Right Winger,£16.20m
