full_name,position,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,saves,penalties_scored,yellow_cards,red_cards,creativity,influence,threat,bonus,bps,ict_index
Lewis Dunk,DF,2932,5,0,11,40,0,0,0,5,2,136.7,720.4,443,17,626,130.2
Kurt Zouma,DF,2027,5,0,9,25,0,0,0,3,0,72.6,577.8,339,6,481,99
John Stones,DF,1933,4,0,14,12,0,0,0,0,1,79.8,520,192,11,531,79
Michael Keane,DF,2989,3,1,11,43,0,0,0,4,0,87.8,814,243,13,649,114.5
Jannik Vestergaard,DF,2574,3,1,6,47,0,0,0,3,1,102.1,671.8,294,4,494,106.7
Angelo Ogbonna,DF,2492,3,0,9,34,0,0,0,5,0,56.4,489.8,244,5,461,79.1
Romain Saiss,DF,2407,3,0,8,40,0,0,0,2,0,101.2,584.6,347,11,466,103.4
Benjamin Chilwell,DF,2286,3,6,12,23,0,0,0,3,0,535.8,545,408,11,549,148.5
Craig Dawson,DF,1925,3,0,7,25,0,0,0,3,1,30.2,433.6,219,3,336,68.4
Ezri Konsa Ngoyo,DF,3195,2,0,12,46,0,0,0,3,0,34.2,695.6,276,8,580,101
Tyrone Mings,DF,3194,2,2,14,42,0,0,0,4,1,97.3,798.4,293,8,633,119.3
Aaron Wan Bissaka,DF,3060,2,5,13,36,0,0,0,3,0,498.2,785.4,159,11,729,144.1
Harry Maguire,DF,3047,2,2,13,36,0,0,0,11,0,133.6,701.4,428,8,632,126.3
Trent Alexander Arnold,DF,3029,2,8,10,40,0,0,0,2,0,1238.8,789.6,529,26,761,255.7
Ben Mee,DF,2693,2,0,10,41,0,0,0,3,0,71.6,691,312,7,500,107.9
Jonny Evans,DF,2473,2,2,10,31,0,0,0,7,0,129,532.4,115,12,536,77.9
Timothy Castagne,DF,2345,2,4,6,37,0,0,0,1,0,350.2,486.6,181,7,479,101.7
Joao Pedro Cavaco Cancelo,DF,2298,2,4,14,21,0,0,0,5,1,673,569.8,394,18,610,163.7
James Justin,DF,2070,2,2,9,25,0,0,0,4,0,290.7,472.2,195,13,447,96
Gabriel Magalhaes,DF,1996,2,0,6,24,0,0,0,2,1,51,464.8,233,7,385,74.9
Yerry Mina,DF,1936,2,0,6,22,0,0,0,2,0,23.5,496.2,200,7,399,72.3
Thiago Thiago,DF,1935,2,0,10,25,0,0,0,3,1,84.9,537.8,223,10,481,84.5
Jamaal Lascelles,DF,1625,2,0,2,32,0,0,0,4,0,38.1,345.2,161,3,229,54.7
Serge Aurier,DF,1605,2,3,6,22,0,0,0,0,0,267.6,412.2,194,4,370,87.4
Issa Diop,DF,1379,2,0,2,22,0,0,0,3,0,17.4,375.6,48,1,234,44.3
Marcos Alonso,DF,958,2,1,5,13,0,0,0,2,0,204.1,224.2,328,5,225,75.6
Benjamin Mendy,DF,951,2,1,5,10,0,0,0,2,0,117.1,179.8,89,8,222,38.4
Andrew Robertson,DF,3384,1,8,12,42,0,0,0,2,0,1129.3,754.4,359,19,834,224.5
Conor Coady,DF,3303,1,0,10,51,0,0,0,5,0,40.1,692.2,85,7,606,82
James Tarkowski,DF,3240,1,0,11,50,0,0,0,6,0,148,773.4,350,9,534,127.7
Cheikhou Kouyate,DF,3121,1,0,8,56,0,0,0,4,0,103,574.8,134,2,438,81.3
Jan Bednarek,DF,3100,1,1,9,62,0,0,0,5,1,75,692,164,11,584,93.1
Matthew Lowton,DF,3060,1,1,10,47,0,0,0,5,0,380.8,551.2,125,6,545,105.8
Nelson Cabral Semedo,DF,2983,1,3,9,45,0,0,0,5,0,412.9,595.2,297,11,548,130.7
Ruben Santos Gato Alves Dias,DF,2843,1,1,17,21,0,0,0,4,0,91,651.6,218,12,656,96.3
Luke Shaw,DF,2653,1,5,10,33,0,0,0,8,0,1085.9,596,243,22,640,192.8
Adam Webster,DF,2594,1,0,9,35,0,0,0,4,0,96.6,505.4,244,0,470,84.6
Victor Lindelof,DF,2585,1,1,10,30,0,0,0,0,0,102.6,503,56,3,527,66.4
Reece James,DF,2367,1,3,9,29,0,0,0,3,0,697.3,527.4,399,15,572,162.8
Kieran Tierney,DF,2299,1,4,8,27,0,0,0,4,0,490.1,446.4,201,4,483,113.9
Mason Holgate,DF,2286,1,0,9,32,0,0,0,9,0,126,432.2,80,4,426,64.1
Joel Veltman,DF,2280,1,1,9,27,0,0,0,3,0,366,484.4,169,10,432,102.1
Toby Alderweireld,DF,2240,1,0,10,25,0,0,0,2,0,106.5,559.8,178,4,469,84.6
Cesar Azpilicueta,DF,2187,1,2,13,20,0,0,0,5,1,413.3,502.2,164,12,518,107.9
Liam Cooper,DF,2186,1,0,6,41,0,0,0,4,1,17.7,620.4,259,2,454,89.8
Hector Bellerin,DF,2089,1,3,7,24,0,0,0,8,0,351.8,362.8,232,17,421,94.7
Pascal Struijk,DF,2072,1,0,7,32,0,0,0,3,0,66.3,513,222,2,402,80.1
Dan Burn,DF,2057,1,0,6,28,0,0,0,5,0,183.1,389,214,1,330,78.2
Kyle Walker,DF,1944,1,1,9,20,0,0,0,1,0,200.9,332.2,88,7,410,62.1
Ciaran Clark,DF,1890,1,0,3,35,0,0,0,3,0,29.8,402.6,105,2,291,53.9
Willy Boly,DF,1879,1,1,6,29,0,0,0,2,0,46.1,414,182,4,364,64.2
Caglar Soyuncu,DF,1816,1,0,5,30,0,0,0,2,0,114.4,403.6,157,3,360,67.7
Antonio Rudiger,DF,1710,1,0,11,10,0,0,0,0,0,83.8,368.6,201,9,429,65.4
Tyrick Mitchell,DF,1710,1,2,4,32,0,0,0,1,0,76.8,387.6,60,5,287,52.5
Nathaniel Phillips,DF,1455,1,1,7,11,0,0,0,2,0,90.6,376.4,132,1,325,60.1
Rayan Ait Nouri,DF,1400,1,1,3,23,0,0,0,1,0,234.5,243.2,196,6,264,67.4
Emil Krafth,DF,1286,1,1,5,27,0,0,0,4,0,87.7,240.4,88,0,222,41.6
Fabian Schar,DF,1255,1,0,2,21,0,0,1,4,1,9,251,116,1,160,37.6
Paul Dummett,DF,1254,1,0,3,20,0,0,0,2,0,68.1,274.4,45,2,204,38.8
Diego Llorente,DF,1203,1,0,4,12,0,0,0,1,0,51,293,115,3,255,46
Luke Thomas,DF,968,1,0,1,18,0,0,0,2,0,111.7,169,101,0,132,38.1
Tariq Lamptey,DF,887,1,3,2,15,0,0,0,2,1,162.9,147.8,156,2,156,46.7
Nathan Ake,DF,797,1,0,3,13,0,0,0,4,0,46.9,156,44,1,150,24.7
Daniel Amartey,DF,718,1,0,0,12,0,0,0,3,0,10.9,155,61,2,121,22.7
Joel Matip,DF,690,1,2,3,5,0,0,0,2,0,42.4,179,84,5,194,30.6
Kortney Hause,DF,630,1,0,3,6,0,0,0,2,0,2.2,147,57,3,124,20.7
Ryan Fredericks,DF,564,1,1,1,9,0,0,0,2,0,166.8,155.2,96,0,127,41.9
Ben Johnson,DF,516,1,0,1,10,0,0,0,1,0,63.7,98,28,0,104,18.9
Virgil van Dijk,DF,370,1,0,1,11,0,0,0,1,0,4.8,82.4,66,1,73,15.3
Matt Targett,DF,3404,0,4,16,44,0,0,0,7,0,607,690.4,122,9,710,142.2
Luke Ayling,DF,3399,0,0,12,54,0,0,0,7,0,421.4,843.2,350,2,665,161.6
Ben White,DF,3192,0,0,12,44,0,0,0,3,1,152.5,488.6,153,5,571,79.7
Aaron Cresswell,DF,3170,0,11,11,41,0,0,0,3,0,898.6,669.4,96,21,730,166.8
Vladimir Coufal,DF,3054,0,9,9,43,0,0,0,3,0,670.9,693.8,220,12,625,158.7
Ben Godfrey,DF,2683,0,2,11,35,0,0,0,4,0,84.3,610.4,152,7,537,84.8
Lucas Digne,DF,2681,0,9,9,42,0,0,0,2,1,704.2,592.6,136,18,590,143.5
Kyle Walker Peters,DF,2646,0,3,9,41,0,0,0,4,0,262.2,497.6,316,7,498,107.5
Ryan Bertrand,DF,2598,0,2,8,51,0,0,0,5,0,271.8,306.8,135,4,404,71.4
Rob Holding,DF,2557,0,1,11,26,0,0,0,2,0,76.1,602.6,97,10,536,77.7
Eric Dier,DF,2520,0,0,8,34,0,0,0,3,0,82.2,577,114,2,463,77.4
Charlie Taylor,DF,2425,0,2,8,42,0,0,0,1,0,248.5,494.4,52,5,451,79.5
Matthew Cash,DF,2373,0,2,11,35,0,0,0,6,1,352.9,520.8,110,8,468,98.7
Wesley Fofana,DF,2260,0,1,7,30,0,0,0,7,0,107.8,502,121,5,464,73.4
Joel Ward,DF,2255,0,1,7,43,0,0,0,5,0,118.2,366.8,28,6,353,51.3
Sergio Reguilon,DF,2244,0,6,8,31,0,0,0,5,0,309.4,361.2,253,4,413,92.5
Ethan Ampadu,DF,2087,0,0,2,41,0,0,0,3,0,189.6,458,51,4,341,70.1
Federico Fernandez,DF,2080,0,0,5,38,0,0,0,4,0,91.3,522,64,6,376,67.5
Jamal Lewis,DF,1833,0,1,3,37,0,0,0,4,0,224.8,272.6,47,3,261,54.2
Seamus Coleman,DF,1607,0,3,8,19,0,0,0,0,0,268.2,322.6,189,4,371,78
Jack Stephens,DF,1537,0,0,4,39,0,0,0,2,0,85.6,351,104,6,288,54.2
Davinson Sanchez,DF,1486,0,0,4,22,0,0,0,1,0,20,319.2,114,3,256,45.5
Oleksandr Zinchenko,DF,1473,0,0,8,14,0,0,0,0,0,295.7,272,134,5,353,70.3
Andreas Christensen,DF,1371,0,0,8,17,0,0,0,2,1,80.9,293.4,34,9,323,40.9
Matt Ritchie,DF,1347,0,5,3,22,0,0,0,2,0,411.9,225.8,101,5,226,73.8
Aymeric Laporte,DF,1343,0,0,7,10,0,0,0,1,0,78,233.4,85,4,286,39.6
Ben Davies,DF,1340,0,2,4,16,0,0,0,1,0,136.8,232.8,65,1,253,43.4
Max Kilman,DF,1307,0,1,5,11,0,0,0,4,0,67.4,249.6,78,8,258,39.4
Erik Pieters,DF,1260,0,3,3,19,0,0,0,1,0,77,199.4,63,5,203,34
Matt Doherty,DF,1238,0,2,4,15,0,0,0,2,1,182.4,257.2,79,4,222,52
Robin Koch,DF,1130,0,0,4,21,0,0,0,1,0,52.2,230.2,131,2,220,41.4
Arthur Masuaku,DF,1006,0,2,4,15,0,0,0,2,0,200.5,187.4,62,4,209,45
Ricardo Domingos Barbosa Pereira,DF,954,0,1,2,19,0,0,0,3,0,162.4,183.4,144,0,152,48.9
Eric Bailly,DF,915,0,0,3,17,0,0,0,3,0,8.3,175.6,26,6,178,21.1
Pablo Mari,DF,900,0,0,4,8,0,0,0,2,0,26.4,163.2,16,1,182,20.6
Mohammed Salisu,DF,841,0,0,0,19,0,0,0,1,0,29.9,188.2,34,0,119,25.4
Javier Manquillo,DF,822,0,0,3,15,0,0,0,1,0,93.5,109.8,18,0,136,22.2
Calum Chambers,DF,751,0,3,2,10,0,0,0,0,0,169.4,171.8,77,3,168,41.9
Cedric Soares,DF,744,0,1,2,11,0,0,0,1,0,114.8,110.8,66,3,125,29.2
Joe Rodon,DF,732,0,0,2,12,0,0,0,0,0,3.6,166.2,6,3,169,17.7
Alex Nicolao Telles,DF,689,0,2,1,11,0,0,0,0,0,200.7,168.6,33,3,149,40.1
Rhys Williams,DF,659,0,0,3,6,0,0,0,0,0,29.8,111.6,62,1,135,20.4
Kevin Long,DF,636,0,0,1,13,0,0,0,2,0,12,102.6,25,1,85,14
Fernando Marcal,DF,618,0,0,1,9,0,0,0,2,0,61.7,102.6,13,0,104,17.9
Joseph Gomez,DF,589,0,0,0,14,0,0,0,0,0,18.1,106.8,0,0,94,12.5
Ki Jana Hoever,DF,573,0,0,0,11,0,0,0,1,0,59.7,100.4,26,0,80,18.7
James Tomkins,DF,551,0,0,2,12,0,0,0,1,0,11.4,101.2,29,2,97,14.1
Jonathan Castro Otto,DF,496,0,0,1,4,0,0,0,0,0,31.8,61,14,1,58,10.8
Japhet Tanganga,DF,487,0,0,2,8,0,0,0,2,0,29.5,68.8,40,0,81,13.8
Axel Tuanzebe,DF,402,0,0,0,8,0,0,0,2,0,6,95,0,0,59,10
Phil Bardsley,DF,273,0,0,0,8,0,0,0,2,0,12.9,39.4,6,0,28,5.9
Neco Williams,DF,247,0,0,1,1,0,0,0,1,0,47.8,42,34,0,51,12.2
Brandon Williams,DF,187,0,0,0,3,0,0,0,0,0,19.4,26.6,19,0,26,6.5
Harry Kane,FW,3083,23,14,12,39,0,0,4,1,0,659.1,1318.2,1585,40,880,355.9
Patrick Bamford,FW,3052,17,11,10,50,0,0,2,3,0,371,867.2,1512,26,631,274.6
Dominic Calvert Lewin,FW,2871,16,6,11,39,0,0,0,3,0,308,745.8,1439,21,528,249
Jamie Vardy,FW,2838,15,14,8,44,0,0,8,1,0,356.6,819.2,1306,23,649,248.3
Ollie Watkins,FW,3328,14,9,14,46,0,0,1,2,1,610.4,815.4,1721,18,531,314
Alexandre Lacazette,FW,1916,13,3,7,21,0,0,3,3,0,307.4,602.4,797,21,452,170.4
Chris Wood,FW,2741,12,3,9,43,0,0,2,0,0,323.2,595.8,1129,16,395,204
Danny Ings,FW,2172,12,4,6,40,0,0,2,1,0,300.7,634.6,866,21,464,178.4
Callum Wilson,FW,2081,12,6,5,37,0,0,4,2,0,230.4,557.4,761,22,409,154.7
Kelechi Iheanacho,FW,1452,12,2,5,23,0,0,0,1,0,413.9,540.2,814,18,424,176.5
Pierre Emerick Aubameyang,FW,2330,10,3,10,26,0,0,2,2,0,361.5,493.8,823,11,358,167.4
Michail Antonio,FW,1972,10,5,6,25,0,0,0,3,0,349.1,517.8,1038,19,345,190.1
Christian Benteke,FW,1808,10,2,5,34,0,0,0,1,1,236.5,512.6,1030,14,338,177.7
Edinson Cavani,FW,1364,10,4,4,18,0,0,0,4,0,203.3,443.4,513,14,367,115
Roberto Firmino,FW,2837,9,8,10,39,0,0,0,2,0,643.2,729.4,1415,15,615,278.8
Che Adams,FW,2662,9,7,7,51,0,0,0,1,0,488.6,581.8,964,16,443,203.4
Gabriel Fernando de Jesus,FW,2056,9,5,11,17,0,0,0,2,0,467.5,501,931,16,453,190
Neal Maupay,FW,2508,8,2,10,34,0,0,3,1,1,443.2,442.2,1103,12,334,198.5
Richarlison de Andrade,FW,2862,7,6,11,38,0,0,1,4,1,359.7,576.4,1147,18,415,208.3
Rodrigo Moreno,FW,1279,7,4,3,21,0,0,0,3,0,409.7,398.4,617,16,341,142.4
Timo Werner,FW,2598,6,12,13,29,0,0,0,2,0,532.4,514.8,1276,7,394,232.5
Danny Welbeck,FW,1541,6,4,6,18,0,0,0,0,0,269.7,319.8,595,15,286,117.7
Tammy Abraham,FW,1031,6,2,5,12,0,0,0,0,0,121.6,277.2,483,8,224,86.6
Joelinton Cassio Apolinario de Lira,FW,1979,4,2,3,36,0,0,1,3,0,250.1,357,612,5,258,122.2
Anthony Martial,FW,1477,4,7,4,23,0,0,0,0,1,265.4,297.6,709,3,238,126.8
Fabio Silva,FW,1352,4,3,0,29,0,0,1,2,0,166.1,238.2,758,5,198,114.9
Raul Jimenez,FW,824,4,1,4,10,0,0,0,0,0,96.2,177.4,275,7,148,55
Olivier Giroud,FW,740,4,0,4,5,0,0,0,1,0,112,161.4,403,6,139,67.2
Allan Saint Maximin,FW,1554,3,5,7,26,0,0,0,0,0,394.2,376,418,5,278,118.9
Matej Vydra,FW,1359,3,2,3,24,0,0,0,0,0,194,197.4,491,2,194,87.3
Ashley Barnes,FW,1324,3,0,6,19,0,0,1,4,0,243.6,153.8,548,7,107,93.8
Aaron Connolly,FW,783,2,1,1,17,0,0,0,0,0,74.1,104.2,307,2,95,48.2
Michy Batshuayi,FW,717,2,2,2,15,0,0,0,0,0,113.5,132.8,210,2,113,45.5
Edward Nketiah,FW,411,2,1,1,6,0,0,0,0,0,97.3,116.6,211,5,120,42.1
Jordan Ayew,FW,2086,1,4,6,42,0,0,0,4,0,238.6,278.6,451,2,216,96.6
Jay Rodriguez,FW,1248,1,3,4,25,0,0,0,3,0,97.4,149.8,449,2,125,68.9
Dwight Gayle,FW,501,1,1,0,9,0,0,0,0,0,89.4,79.6,263,3,79,42.4
Keinan Davis,FW,265,1,1,1,1,0,0,0,0,0,76.7,77.2,169,0,85,31.7
Jean Philippe Mateta,FW,215,1,0,0,4,0,0,0,0,0,16.2,46.6,80,2,45,14
Divock Origi,FW,180,0,0,1,0,0,0,0,0,0,33.2,17.8,60,0,23,11.1
Alisson Ramses Becker,GK,2970,1,0,10,32,1,84,0,1,0,0.1,776.4,17,13,660,79.4
Emiliano Martinez,GK,3420,0,0,15,46,1,142,0,1,0,20,1067.2,0,27,825,108.5
Hugo Lloris,GK,3420,0,0,12,45,0,114,0,0,0,0,868,0,13,702,86.7
Kasper Schmeichel,GK,3420,0,0,11,50,0,88,0,0,0,0,769,0,6,631,76.9
Rui Pedro dos Santos Patricio,GK,3330,0,0,10,51,1,100,0,1,0,0,763.6,0,12,626,76.1
Vicente Guaita,GK,3330,0,0,8,64,1,106,0,2,0,0,819.4,0,15,639,82.2
Ederson Santana de Moraes,GK,3240,0,1,19,28,1,66,0,3,0,10,586,0,3,696,59.6
Illan Meslier,GK,3150,0,0,11,52,1,140,0,0,0,10,1026,0,20,774,103.7
Lukasz Fabianski,GK,3150,0,0,10,44,1,103,0,2,0,0,745.2,0,11,634,74.4
Bernd Leno,GK,3131,0,0,11,37,1,86,0,0,1,0,702.2,2,11,625,70.3
