Full Name,Position,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index
Joel Dinis Castro Pereira,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Pereira,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axel Tuanzebe,DF,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Sergio Romero,GK,90,0,0,1,0,0,0,0,0,0,3,0,26,26.4,0,0,2.6
Zlatan Ibrahimovic,FW,102,0,0,0,2,0,0,0,0,0,0,0,18,14.8,43.5,68,12.6
Michael Carrick,MF,108,0,0,1,0,0,0,0,0,0,0,0,19,23.2,13.7,41,7.8
Daley Blind,DF,360,0,0,4,0,0,0,0,0,0,0,1,119,65.8,93,15,17.3
Matteo Darmian,DF,443,0,0,3,3,0,0,0,0,0,0,3,119,95,25.3,6,12.6
Marouane Fellaini,MF,611,4,0,4,1,0,0,0,1,0,0,3,171,246,88.2,264,59.8
Scott McTominay,MF,629,0,0,4,3,0,0,0,2,0,0,0,96,78.2,53.6,11,14.2
Marcos Rojo,DF,639,0,0,3,8,0,0,0,6,0,0,4,126,151.4,26,47,22.5
Luke Shaw,DF,787,0,0,7,2,0,0,0,2,0,0,4,216,142.6,127,144,41.5
Eric Bailly,DF,1000,1,0,7,6,1,0,0,2,0,0,3,248,222,28.4,79,33
Ander Herrera,MF,1257,0,2,5,14,0,0,0,5,0,0,0,229,294.4,229.4,101,62.7
Victor Lindelöf,DF,1284,0,0,5,14,0,0,0,1,0,0,1,297,272.8,37.7,8,32
Anthony Martial,MF,1572,9,6,9,13,0,0,0,1,0,0,7,403,535.4,509.3,748,179.5
Marcus Rashford,FW,1799,7,5,10,16,0,0,0,3,0,0,11,387,470.8,412.1,838,171.7
Jesse Lingard,MF,1807,8,6,9,18,0,0,0,2,0,0,10,450,526.6,519.1,711,175.3
Juan Mata,MF,1919,3,5,15,10,0,0,0,1,0,0,6,418,422.8,849.9,453,172.1
Phil Jones,DF,1973,0,0,15,11,1,0,0,2,0,0,19,554,486.4,36.6,12,53.6
Paul Pogba,MF,2145,6,13,11,20,0,0,0,5,1,0,15,528,710.8,663.5,780,215.6
Ashley Young,MF,2444,2,6,9,26,0,0,0,7,0,0,11,479,601.2,502.3,213,131.6
Chris Smalling,DF,2535,4,0,11,24,0,0,0,4,0,0,9,590,743.8,35.3,230,101.2
Alexis Sanchez,MF,2546,9,10,11,32,0,0,1,5,0,0,13,515,823.2,1155.2,1281,326.1
Antonio Valencia,DF,2741,3,1,16,22,0,0,0,7,0,0,13,660,559.2,438.5,259,125.5
Romelu Lukaku,FW,2866,16,7,14,26,0,0,1,4,0,0,18,593,831,572.4,1334,273.2
Nemanja Matic,MF,3117,1,1,16,26,0,0,0,6,0,0,3,576,681.4,427.9,168,127.9
David De Gea,GK,3330,0,0,18,28,0,0,0,0,0,115,10,757,821.2,10,0,83.4
Damian Emiliano Martinez,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Armando de Abreu,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl Jenkinson,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago Cazorla,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Perez,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu Debuchy,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordi Osei-Tutu,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edward Nketiah,FW,17,0,0,0,1,0,0,0,0,0,0,0,10,5,1.9,17,2.3
Joseph Willock,MF,81,0,0,0,2,0,0,0,0,0,0,0,8,8.2,5.8,4,1.8
Reiss Nelson,MF,144,0,0,0,3,0,0,0,0,0,0,0,23,12,29.7,11,5.3
Francis Coquelin,MF,164,0,0,0,6,0,0,0,0,0,0,0,35,22.2,16.9,8,4.8
Konstantinos Mavropanos,DF,194,0,0,1,5,0,0,0,0,1,0,0,41,52.2,1.3,2,5.5
Per Mertesacker,DF,364,1,0,0,7,0,0,0,0,0,0,2,81,119.6,3,38,16.1
David Ospina,GK,380,0,0,2,3,0,0,0,0,0,9,1,86,75.8,0,0,7.7
Rob Holding,DF,819,0,1,3,17,0,0,0,3,0,0,1,196,212.2,39.3,24,27.5
Calum Chambers,DF,864,0,0,2,14,0,0,0,1,0,0,0,171,227.8,40,134,40.2
Mohamed Elneny,MF,865,0,1,3,12,0,0,0,3,1,0,0,156,138.2,194.4,92,42.5
Ainsley Maitland-Niles,MF,908,0,0,3,16,0,0,0,1,0,0,0,160,168.4,141.3,67,37.8
Pierre-Emerick Aubameyang,FW,1056,10,4,4,15,0,0,1,0,0,0,12,354,484,207.1,580,127.1
Danny Welbeck,FW,1178,5,2,4,21,0,0,0,1,0,0,6,249,309.8,212.8,435,96
Jack Wilshere,MF,1185,1,3,4,16,0,0,0,6,0,0,2,236,258.4,281.8,169,71
Henrikh Mkhitaryan,MF,1712,3,9,12,17,0,0,0,2,0,0,9,411,506.8,727.8,400,163.8
Alex Iwobi,MF,1827,3,5,9,26,0,0,0,1,0,0,2,426,430,592.9,635,165.6
Aaron Ramsey,MF,1844,7,10,9,25,0,0,0,0,0,0,12,503,631.2,478.3,734,184.2
Sead Kolasinac,DF,2146,2,4,10,30,0,0,0,3,0,0,6,510,443.2,334.9,404,118.3
Mesut Ozil,MF,2161,4,9,8,36,0,0,0,4,0,0,11,506,640.6,1287.5,555,248.6
Alexandre Lacazette,FW,2197,14,5,10,28,0,0,0,1,0,0,11,543,725.6,566,1291,258
Laurent Koscielny,DF,2225,2,0,9,32,0,0,0,4,0,0,16,556,692,123.8,137,95.5
Nacho Monreal,DF,2241,5,2,10,29,0,0,0,3,0,0,15,604,693.6,238.7,305,124
Shkodran Mustafi,DF,2272,3,1,10,30,0,0,0,6,0,0,13,610,836.6,129.9,202,117
Petr Cech,GK,3039,0,0,11,48,0,1,0,1,0,90,7,627,722.4,0,0,71.9
Hector Bellerin,DF,3050,2,4,12,44,0,0,0,5,0,0,11,656,554,561,484,160.1
Granit Xhaka,MF,3259,1,8,12,50,0,0,0,10,0,0,3,593,753.4,822.8,378,195.3
Grant Hanley,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoan Gouffran,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Colback,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daryl Murphy,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siem de Jong,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddie Woodman,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massadio Haidara,DF,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Henri Saivet,MF,83,1,0,0,2,0,0,0,0,0,0,1,27,49.8,0.8,7,5.8
Aleksandar Mitrovic,FW,89,1,0,0,0,0,0,0,0,0,0,0,37,48.2,44.7,73,16.6
Jesus Gamez Duarte,DF,97,0,0,1,0,0,0,0,0,0,0,2,38,32.2,47.6,4,8.4
Rolando Aarons,MF,136,0,0,0,2,0,0,0,0,0,0,0,19,12,8.1,25,4.6
Islam Slimani,FW,369,1,1,1,4,0,0,0,1,0,0,1,76,83.2,100.8,115,29.6
Chancel Mbemba,DF,670,0,0,1,11,0,0,0,0,0,0,3,133,158.2,67.1,6,23.2
Karl Darlow,GK,900,0,0,2,15,1,0,0,0,0,35,2,172,258.8,0,0,25.9
Robert Kenedy Nunes do Nascimento,MF,1023,2,2,6,9,0,0,0,1,0,0,5,171,236.4,224.1,253,71.4
Martin Dubravka,GK,1080,0,0,4,11,0,1,0,0,0,26,5,215,234.6,0,0,23.3
Jacob Murphy,MF,1137,1,2,2,25,0,0,0,0,0,0,2,171,161.8,159.7,227,54.7
Mikel Merino,MF,1337,1,1,3,18,0,0,0,4,0,0,4,271,374.8,236.7,156,76.9
Isaac Hayden,MF,1365,1,0,3,25,0,0,0,7,0,0,0,171,273.6,164.7,144,58.2
Robert Elliot,GK,1440,0,0,3,21,0,1,0,0,0,44,4,280,364.2,0,0,36.5
Paul Dummett,DF,1602,0,0,5,18,0,0,0,1,0,0,0,280,333.6,97.8,58,49
Jose Luis Mato Sanmartin,FW,1703,4,1,5,25,0,0,1,2,0,0,5,227,291.2,254.8,526,106.5
Ciaran Clark,DF,1745,2,1,4,30,0,0,0,3,0,0,6,317,433.6,50.8,190,67.5
Javier Manquillo,DF,1757,0,1,4,31,0,0,0,2,0,0,1,247,266,164.8,26,45.9
