ID,Full Name,Team,Position,Total Points,Points Per Game,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index,
262,Joel Dinis Castro Pereira,1,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
476,Andreas Pereira,1,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
272,Axel Tuanzebe,1,DF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,    
261,Sergio Romero,1,GK,7,7,90,0,0,1,0,0,0,0,0,0,3,0,26,26.4,0,0,2.6,    
523,Zlatan Ibrahimovic,1,FW,5,1,102,0,0,0,2,0,0,0,0,0,0,0,18,14.8,43.5,68,12.6,    
276,Michael Carrick,1,MF,4,2,108,0,0,1,0,0,0,0,0,0,0,0,19,23.2,13.7,41,7.8,    
270,Daley Blind,1,DF,28,4,360,0,0,4,0,0,0,0,0,0,0,1,119,65.8,93,15,17.3,    
268,Matteo Darmian,1,DF,27,3.4,443,0,0,3,3,0,0,0,0,0,0,3,119,95,25.3,6,12.6,    
275,Marouane Fellaini,1,MF,47,2.9,611,4,0,4,1,0,0,0,1,0,0,3,171,246,88.2,264,59.8,    
283,Scott McTominay,1,MF,21,1.6,629,0,0,4,3,0,0,0,2,0,0,0,96,78.2,53.6,11,14.2,    
266,Marcos Rojo,1,DF,23,2.6,639,0,0,3,8,0,0,0,6,0,0,4,126,151.4,26,47,22.5,    
265,Luke Shaw,1,DF,48,4.4,787,0,0,7,2,0,0,0,2,0,0,4,216,142.6,127,144,41.5,    
271,Eric Bailly,1,DF,55,4.2,1000,1,0,7,6,1,0,0,2,0,0,3,248,222,28.4,79,33,    
278,Ander Herrera,1,MF,44,1.7,1257,0,2,5,14,0,0,0,5,0,0,0,229,294.4,229.4,101,62.7,    
273,Victor Lindelöf,1,DF,47,2.8,1284,0,0,5,14,0,0,0,1,0,0,1,297,272.8,37.7,8,32,    
280,Anthony Martial,1,MF,125,4.2,1572,9,6,9,13,0,0,0,1,0,0,7,403,535.4,509.3,748,179.5,    
284,Marcus Rashford,1,FW,104,3,1799,7,5,10,16,0,0,0,3,0,0,11,387,470.8,412.1,838,171.7,    
279,Jesse Lingard,1,MF,128,3.9,1807,8,6,9,18,0,0,0,2,0,0,10,450,526.6,519.1,711,175.3,    
274,Juan Mata,1,MF,100,3.6,1919,3,5,15,10,0,0,0,1,0,0,6,418,422.8,849.9,453,172.1,    
264,Phil Jones,1,DF,116,5,1973,0,0,15,11,1,0,0,2,0,0,19,554,486.4,36.6,12,53.6,    
282,Paul Pogba,1,MF,138,5.1,2145,6,13,11,20,0,0,0,5,1,0,15,528,710.8,663.5,780,215.6,    
277,Ashley Young,1,MF,98,3.3,2444,2,6,9,26,0,0,0,7,0,0,11,479,601.2,502.3,213,131.6,    
263,Chris Smalling,1,DF,123,4.2,2535,4,0,11,24,0,0,0,4,0,0,9,590,743.8,35.3,230,101.2,    
14,Alexis Sánchez,1,MF,152,4.9,2546,9,10,11,32,0,0,1,5,0,0,13,515,823.2,1155.2,1281,326.1,    
267,Antonio Valencia,1,DF,146,4.7,2741,3,1,16,22,0,0,0,7,0,0,13,660,559.2,438.5,259,125.5,    
285,Romelu Lukaku,1,FW,162,4.8,2866,16,7,14,26,0,0,1,4,0,0,18,593,831,572.4,1334,273.2,    
107,Nemanja Matic,1,MF,91,2.5,3117,1,1,16,26,0,0,0,6,0,0,3,576,681.4,427.9,168,127.9,    
260,David De Gea,1,GK,172,4.6,3330,0,0,18,28,0,0,0,0,0,115,10,757,821.2,10,0,83.4,    
3,Damian Emiliano Martinez,3,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
6,Gabriel Armando de Abreu,3,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
9,Carl Jenkinson,3,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
17,Santiago Cazorla,3,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
27,Lucas Pérez,3,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
559,Matt Macey,3,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
564,Mathieu Debuchy,3,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
644,Jordi Osei-Tutu,3,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
560,Edward Nketiah,3,FW,3,1,17,0,0,0,1,0,0,0,0,0,0,0,10,5,1.9,17,2.3,    
634,Joseph Willock,3,MF,3,1.5,81,0,0,0,2,0,0,0,0,0,0,0,8,8.2,5.8,4,1.8,    
489,Reiss Nelson,3,MF,5,1.7,144,0,0,0,3,0,0,0,0,0,0,0,23,12,29.7,11,5.3,    
20,Francis Coquelin,3,MF,7,1,164,0,0,0,6,0,0,0,0,0,0,0,35,22.2,16.9,8,4.8,    
595,Konstantinos Mavropanos,3,DF,4,1.3,194,0,0,1,5,0,0,0,0,1,0,0,41,52.2,1.3,2,5.5,    
5,Per Mertesacker,3,DF,16,2.7,364,1,0,0,7,0,0,0,0,0,0,2,81,119.6,3,38,16.1,    
1,David Ospina,3,GK,19,3.8,380,0,0,2,3,0,0,0,0,0,9,1,86,75.8,0,0,7.7,    
11,Rob Holding,3,DF,27,2.3,819,0,1,3,17,0,0,0,3,0,0,1,196,212.2,39.3,24,27.5,    
480,Calum Chambers,3,DF,23,1.9,864,0,0,2,14,0,0,0,1,0,0,0,171,227.8,40,134,40.2,    
22,Mohamed Elneny,3,MF,22,1.7,865,0,1,3,12,0,0,0,3,1,0,0,156,138.2,194.4,92,42.5,    
546,Ainsley Maitland-Niles,3,MF,25,1.7,908,0,0,3,16,0,0,0,1,0,0,0,160,168.4,141.3,67,37.8,    
616,Pierre-Emerick Aubameyang,3,FW,87,6.7,1056,10,4,4,15,0,0,1,0,0,0,12,354,484,207.1,580,127.1,    
26,Danny Welbeck,3,FW,70,2.5,1178,5,2,4,21,0,0,0,1,0,0,6,249,309.8,212.8,435,96,    
24,Jack Wilshere,3,MF,46,2.3,1185,1,3,4,16,0,0,0,6,0,0,2,236,258.4,281.8,169,71,    
281,Henrikh Mkhitaryan,3,MF,107,4.1,1712,3,9,12,17,0,0,0,2,0,0,9,411,506.8,727.8,400,163.8,    
21,Alex Iwobi,3,MF,89,3.4,1827,3,5,9,26,0,0,0,1,0,0,2,426,430,592.9,635,165.6,    
18,Aaron Ramsey,3,MF,130,5.4,1844,7,10,9,25,0,0,0,0,0,0,12,503,631.2,478.3,734,184.2,    
13,Sead Kolasinac,3,DF,108,4,2146,2,4,10,30,0,0,0,3,0,0,6,510,443.2,334.9,404,118.3,    
16,Mesut Özil,3,MF,112,4.3,2161,4,9,8,36,0,0,0,4,0,0,11,506,640.6,1287.5,555,248.6,    
28,Alexandre Lacazette,3,FW,138,4.3,2197,14,5,10,28,0,0,0,1,0,0,11,543,725.6,566,1291,258,    
4,Laurent Koscielny,3,DF,100,4,2225,2,0,9,32,0,0,0,4,0,0,16,556,692,123.8,137,95.5,    
10,Nacho Monreal,3,DF,130,4.6,2241,5,2,10,29,0,0,0,3,0,0,15,604,693.6,238.7,305,124,    
12,Shkodran Mustafi,3,DF,109,4,2272,3,1,10,30,0,0,0,6,0,0,13,610,836.6,129.9,202,117,    
2,Petr Cech,3,GK,124,3.6,3039,0,0,11,48,0,1,0,1,0,90,7,627,722.4,0,0,71.9,    
7,Héctor Bellerín,3,DF,132,3.8,3050,2,4,12,44,0,0,0,5,0,0,11,656,554,561,484,160.1,    
23,Granit Xhaka,3,MF,109,2.9,3259,1,8,12,50,0,0,0,10,0,0,3,593,753.4,822.8,378,195.3,    
292,Grant Hanley,4,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
297,Yoan Gouffran,4,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
299,Jack Colback,4,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
304,Daryl Murphy,4,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
466,Siem de Jong,4,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
529,Freddie Woodman,4,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    
465,Massadio Haidara,4,DF,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,    
516,Henri Saivet,4,MF,8,8,83,1,0,0,2,0,0,0,0,0,0,1,27,49.8,0.8,7,5.8,    
303,Aleksandar Mitrovic,4,FW,10,1.7,89,1,0,0,0,0,0,0,0,0,0,0,37,48.2,44.7,73,16.6,    
