,Player,POS,Valuation
0,Marc-André ter Stegen,Goalkeeper,£81.00m
3,Neto,Goalkeeper,£16.20m
6,Iñaki Peña,Goalkeeper,£2.25m
9,Clément Lenglet,Centre-Back,£54.00m
12,Samuel Umtiti,Centre-Back,£40.50m
15,Gerard Piqué,Centre-Back,£31.50m
18,Jean-Clair Todibo,Centre-Back,£7.20m
21,Jordi Alba,Left-Back,£45.00m
24,Júnior Firpo,Left-Back,£22.50m
27,Nélson Semedo,Right-Back,£36.00m
30,Moussa Wagué,Right-Back,£4.50m
33,Sergio Busquets,Defensive Midfield,£45.00m
36,Frenkie de Jong,Central Midfield,£76.50m
39,Arthur,Central Midfield,£63.00m
42,Sergi Roberto,Central Midfield,£45.00m
45,Ivan Rakitic,Central Midfield,£31.50m
48,Carles Aleñá,Central Midfield,£27.00m
51,Arturo Vidal,Central Midfield,£13.50m
54,Ousmane Dembélé,Left Winger,£90.00m
57,Ansu Fati,Left Winger,£22.50m
60,Lionel Messi,Right Winger,£135.00m
63,Carles Pérez,Right Winger,£9.00m
66,Antoine Griezmann,Centre-Forward,£117.00m
69,Luis Suárez,Centre-Forward,£45.00m
72,Oier Olazábal,Goalkeeper,£2.25m
75,Aitor Fernández,Goalkeeper,£2.25m
78,Rúben Vezo,Centre-Back,£5.40m
81,Erick Cabaco,Centre-Back,£3.60m
84,Rober Pier,Centre-Back,£2.25m
87,Sergio Postigo,Centre-Back,£2.25m
90,Óscar Duarte,Centre-Back,£900k
93,Carlos Clerc,Left-Back,£1.80m
96,Toño,Left-Back,£900k
99,Jorge Miramón,Right-Back,£2.70m
102,Coke,Right-Back,£1.80m
105,Iván López,Right-Back,£360k
108,Nemanja Radoja,Defensive Midfield,£2.70m
111,Nikola Vukcevic,Defensive Midfield,£2.25m
114,Enis Bardhi,Central Midfield,£13.50m
117,José Campaña,Central Midfield,£13.50m
120,Gonzalo Melero,Central Midfield,£3.60m
123,Rubén Rochina,Attacking Midfield,£3.60m
126,Hernâni,Right Winger,£2.25m
129,Roger Martí,Centre-Forward,£9.00m
132,José Luis Morales,Centre-Forward,£9.00m
135,Borja Mayoral,Centre-Forward,£3.60m
138,Sergio León,Centre-Forward,£2.70m
141,Rubén Blanco,Goalkeeper,£2.70m
144,Sergio Álvarez,Goalkeeper,£1.80m
147,Iván Villar,Goalkeeper,£270k
150,Néstor Araujo,Centre-Back,£7.20m
153,Joseph Aidoo,Centre-Back,£7.20m
156,David Costas,Centre-Back,£2.70m
159,Jorge Sáenz,Centre-Back,£2.70m
162,Lucas Olaza,Left-Back,£3.15m
165,David Juncà,Left-Back,£1.35m
168,Hugo Mallo,Right-Back,£13.50m
171,Kevin Vázquez,Right-Back,£450k
174,Stanislav Lobotka,Defensive Midfield,£22.50m
177,Okay Yokuslu,Defensive Midfield,£10.80m
180,Fran Beltrán,Central Midfield,£16.20m
183,Pape Cheikh,Central Midfield,£6.30m
186,Rafinha,Attacking Midfield,£13.50m
189,Denis Suárez,Left Winger,£10.80m
192,Pione Sisto,Left Winger,£7.20m
195,Brais Méndez,Right Winger,£18.00m
198,Juan Hernández,Right Winger,£900k
201,Santi Mina,Centre-Forward,£27.00m
204,Iago Aspas,Centre-Forward,£22.50m
207,Gabriel Fernández,Centre-Forward,£2.70m
210,Claudio Beauvue,Centre-Forward,£2.25m
213,Joel Robles,Goalkeeper,£4.50m
216,Dani Martín,Goalkeeper,£4.50m
219,Marc Bartra,Centre-Back,£19.80m
222,Aïssa Mandi,Centre-Back,£14.40m
225,Sidnei,Centre-Back,£9.00m
228,Zouhair Feddal,Centre-Back,£4.50m
231,Alfonso Pedraza,Left-Back,£15.75m
234,Álex Moreno,Left-Back,£6.30m
237,Emerson,Right-Back,£5.40m
240,Francis Guerrero,Right-Back,£3.60m
243,Antonio Barragán,Right-Back,£1.80m
246,William Carvalho,Defensive Midfield,£22.50m
249,Javi García,Defensive Midfield,£1.80m
252,Andrés Guardado,Central Midfield,£4.50m
255,Wilfrid Kaptoum,Central Midfield,£3.60m
258,Nabil Fekir,Attacking Midfield,£54.00m
261,Sergio Canales,Attacking Midfield,£22.50m
264,Diego Lainez,Left Winger,£12.60m
267,Cristian Tello,Left Winger,£9.00m
270,Juanmi,Right Winger,£7.20m
273,Joaquín,Right Winger,£1.80m
276,Borja Iglesias,Centre-Forward,£25.20m
279,Loren Morón,Centre-Forward,£9.00m
282,Andrii Lunin,Goalkeeper,£6.75m
285,Jordi Masip,Goalkeeper,£5.40m
288,Joaquín Fernández,Centre-Back,£2.70m
291,Mohammed Salisu,Centre-Back,£2.25m
294,Federico Barba,Centre-Back,£1.80m
297,Kiko Olivas,Centre-Back,£1.80m
300,Javi Sánchez,Centre-Back,£1.80m
303,Nacho Martínez,Left-Back,£4.50m
306,Pedro Porro,Right-Back,£9.00m
309,Antoñito,Right-Back,£1.80m
312,Javi Moyano,Right-Back,£720k
315,Luismi,Defensive Midfield,£630k
318,Rubén Alcaraz,Central Midfield,£9.00m
321,Fede San Emeterio,Central Midfield,£4.50m
324,Míchel,Central Midfield,£1.80m
327,Anuar,Central Midfield,£1.35m
330,Álvaro Aguado,Attacking Midfield,£540k
333,Toni Villa,Left Winger,£3.60m
336,Waldo Rubio,Left Winger,£900k
339,Jorge de Frutos,Right Winger,£4.50m
342,Pablo Hervías,Right Winger,£630k
345,Sergi Guardiola,Centre-Forward,£4.50m
348,Enes Ünal,Centre-Forward,£4.50m
351,Óscar Plano,Centre-Forward,£3.60m
354,Sandro Ramírez,Centre-Forward,£3.60m
357,Tomas Vaclik,Goalkeeper,£16.20m
360,Bono,Goalkeeper,£4.50m
363,Javi Díaz,Goalkeeper,£180k
366,Jules Koundé,Centre-Back,£22.50m
369,Diego Carlos,Centre-Back,£13.50m
372,Sergi Gómez,Centre-Back,£7.20m
375,Daniel Carriço,Centre-Back,£2.70m
378,Sergio Reguilón,Left-Back,£19.80m
381,Sergio Escudero,Left-Back,£6.75m
384,Jesús Navas,Right-Back,£3.60m
387,Nemanja Gudelj,Defensive Midfield,£5.85m
390,Fernando,Defensive Midfield,£4.05m
393,Óliver Torres,Central Midfield,£15.30m
396,Éver Banega,Central Midfield,£13.50m
399,Joan Jordán,Central Midfield,£12.60m
402,Franco Vázquez,Attacking Midfield,£13.50m
405,Alejandro Pozo,Attacking Midfield,£2.25m
408,Lucas Ocampos,Left Winger,£13.50m
411,Bryan Gil,Left Winger,£9.00m
414,Nolito,Left Winger,£1.80m
417,Rony Lopes,Right Winger,£22.50m
420,Munas Dabbur,Centre-Forward,£13.50m
423,Chicharito,Centre-Forward,£10.80m
426,Luuk de Jong,Centre-Forward,£10.80m
429,Munir El Haddadi,Centre-Forward,£9.00m
432,Marko Dmitrovic,Goalkeeper,£9.00m
435,Yoel Rodríguez,Goalkeeper,£1.35m
438,Paulo Oliveira,Centre-Back,£5.40m
441,Pedro Bigas,Centre-Back,£2.70m
444,Anaitz Arbilla,Centre-Back,£1.80m
447,Esteban Burgos,Centre-Back,£900k
450,Iván Ramis,Centre-Back,£900k
453,José Ángel,Left-Back,£4.50m
456,Álvaro Tejero,Right-Back,£2.70m
459,Roberto Correa,Right-Back,£720k
462,Pape Diop,Defensive Midfield,£1.35m
465,Gonzalo Escalante,Central Midfield,£3.60m
468,Edu Expósito,Central Midfield,£3.60m
471,Sergio Álvarez,Central Midfield,£2.25m
474,Takashi Inui,Left Winger,£3.60m
477,Pablo de Blasis,Left Winger,£1.80m
480,Fabián Orellana,Right Winger,£2.25m
483,Pedro León,Right Winger,£1.62m
486,Sergi Enrich,Centre-Forward,£6.75m
489,Kike,Centre-Forward,£2.70m
492,Charles,Centre-Forward,£1.80m
495,Quique,Centre-Forward,£1.35m
498,Jan Oblak,Goalkeeper,£90.00m
501,Antonio Adán,Goalkeeper,£1.35m
504,José Giménez,Centre-Back,£63.00m
507,Stefan Savic,Centre-Back,£31.50m
510,Mario Hermoso,Centre-Back,£22.50m
513,Felipe,Centre-Back,£18.00m
516,Renan Lodi,Left-Back,£13.50m
519,Kieran Trippier,Right-Back,£31.50m
522,Sime Vrsaljko,Right-Back,£18.00m
525,Santiago Arias,Right-Back,£16.20m
528,Thomas,Defensive Midfield,£45.00m
531,Marcos Llorente,Defensive Midfield,£27.00m
534,Saúl Ñíguez,Central Midfield,£81.00m
537,Héctor Herrera,Central Midfield,£19.80m
540,Koke,Right Midfield,£63.00m
543,Thomas Lemar,Left Winger,£36.00m
546,Vitolo,Left Winger,£16.20m
549,Ángel Correa,Right Winger,£31.50m
552,João Félix,Second Striker,£90.00m
555,Álvaro Morata,Centre-Forward,£45.00m
558,Diego Costa,Centre-Forward,£22.50m
561,Ivan Saponjic,Centre-Forward,£2.70m
564,Rui Silva,Goalkeeper,£2.25m
567,Aarón Escandell,Goalkeeper,£270k
570,Domingos Duarte,Centre-Back,£2.70m
573,José Antonio Martínez,Centre-Back,£1.08m
576,Neyder Lozano,Centre-Back,£540k
579,Germán Sánchez,Centre-Back,£450k
582,Álex Martínez,Left-Back,£900k
585,Ismail Köybasi,Left-Back,£450k
588,Carlos Neva,Left-Back,£180k
591,Víctor Díaz,Right-Back,£1.08m
594,Quini,Right-Back,£630k
597,Maxime Gonalons,Defensive Midfield,£3.60m
600,Yangel Herrera,Defensive Midfield,£1.80m
603,Ángel Montoro,Central Midfield,£1.35m
606,Yan Brice,Central Midfield,£900k
609,Ramon Azeez,Central Midfield,£720k
612,Fede Vico,Attacking Midfield,£1.35m
615,Darwin Machís,Left Winger,£2.70m
618,Álvaro Vadillo,Right Winger,£1.80m
621,Antonio Puertas,Right Winger,£1.80m
624,Carlos Fernández,Centre-Forward,£1.80m
627,Roberto Soldado,Centre-Forward,£900k
630,Adrián Ramos,Centre-Forward,£900k
633,Sergio Asenjo,Goalkeeper,£10.80m
636,Andrés Fernández,Goalkeeper,£1.35m
639,Mariano Barbosa,Goalkeeper,£360k
642,Ramiro Funes Mori,Centre-Back,£7.20m
645,Pau Torres,Centre-Back,£5.40m
648,Raúl Albiol,Centre-Back,£4.50m
651,Alberto Moreno,Left-Back,£8.10m
654,Xavi Quintillà,Left-Back,£1.80m
657,Mario Gaspar,Right-Back,£9.00m
660,Rubén Peña,Right-Back,£7.20m
663,André Zambo Anguissa,Defensive Midfield,£22.50m
666,Santiago Cáseres,Defensive Midfield,£9.00m
669,Bruno Soriano,Defensive Midfield,£720k
672,Manu Trigueros,Central Midfield,£13.50m
675,Vicente Iborra,Central Midfield,£8.10m
678,Santi Cazorla,Central Midfield,£3.60m
681,Manu Morlanes,Central Midfield,£2.25m
684,Javi Ontiveros,Left Winger,£6.75m
687,Moi Gómez,Left Winger,£4.50m
690,Samu Chukwueze,Right Winger,£27.00m
693,Leo Suárez,Right Winger,£900k
696,Gerard Moreno,Centre-Forward,£15.75m
699,Karl Toko Ekambi,Centre-Forward,£15.75m
