,Player,POS,Valuation
0,Gerónimo Rulli,Goalkeeper,£9.00m
3,Dimitry Bertaud,Goalkeeper,£900k
6,Matis Carvalho,Goalkeeper,£135k
9,Pedro Mendes,Centre-Back,£5.40m
12,Nicolas Cozza,Centre-Back,£3.60m
15,Daniel Congré,Centre-Back,£675k
18,Clément Vidal,Centre-Back,£135k
21,Vitorino Hilton,Centre-Back,£90k
24,Ambroise Oyongo,Left-Back,£3.60m
27,Mihailo Ristic,Left-Back,£720k
30,Arnaud Souquet,Right-Back,£3.15m
33,Mathías Suárez,Right-Back,£1.35m
36,Junior Sambia,Defensive Midfield,£3.60m
39,Damien Le Tallec,Defensive Midfield,£3.60m
42,Joris Chotard,Defensive Midfield,£450k
45,Kylian Kaïboué,Defensive Midfield,£135k
48,Téji Savanier,Central Midfield,£10.80m
51,Jordan Ferri,Central Midfield,£3.60m
54,Florent Mollet,Attacking Midfield,£8.10m
57,Amir Adouyev,Attacking Midfield,£135k
60,Keagan Dolly,Left Winger,£1.17m
63,Bilal Boutobba,Right Winger,£450k
66,Souleymane Camara,Right Winger,£225k
69,Andy Delort,Centre-Forward,£11.25m
72,Gaëtan Laborde,Centre-Forward,£9.00m
75,Petar Skuletic,Centre-Forward,£900k
78,Walter Benítez,Goalkeeper,£9.00m
81,Yannis Clementia,Goalkeeper,£900k
84,Yoan Cardinale,Goalkeeper,£900k
87,Christophe Hérelle,Centre-Back,£8.10m
90,Stanley Nsoki,Centre-Back,£7.65m
93,Dante,Centre-Back,£1.35m
96,Andy Pelmard,Centre-Back,£1.35m
99,Ibrahim Cissé,Centre-Back,£450k
102,Gautier Lloris,Centre-Back,£135k
105,Malang Sarr,Left-Back,£16.20m
108,Racine Coly,Left-Back,£2.25m
111,Youcef Atal,Right-Back,£22.50m
114,Patrick Burner,Right-Back,£3.15m
117,Adrien Tamèze,Defensive Midfield,£7.20m
120,Danilo,Defensive Midfield,£7.20m
123,Khéphren Thuram,Defensive Midfield,£1.35m
126,Wylan Cyprien,Central Midfield,£16.20m
129,Pierre Lees Melou,Central Midfield,£7.20m
132,Rémi Walter,Central Midfield,£3.15m
135,Arnaud Lusamba,Central Midfield,£1.80m
138,Hichem Boudaoui,Central Midfield,£1.26m
141,Alexis Claude-Maurice,Left Winger,£6.75m
144,Adam Ounas,Right Winger,£9.00m
147,Bassem Srarfi,Right Winger,£2.70m
150,Kasper Dolberg,Centre-Forward,£16.20m
153,Myziane Maolida,Centre-Forward,£7.20m
156,Ignatius Ganago,Centre-Forward,£2.70m
159,Matz Sels,Goalkeeper,£6.30m
162,Bingourou Kamara,Goalkeeper,£2.25m
165,Eiji Kawashima,Goalkeeper,£225k
