Player,Opposition,Ground,Start Date,position
GS Blewett,v Zimbabwe,Harare,1999-10-14,1
GS Blewett,v Pakistan,Brisbane,1999-11-05,1
GS Blewett,v Pakistan,Hobart,1999-11-18,1
GS Blewett,v Pakistan,Perth,1999-11-26,1
GS Blewett,v India,Adelaide,1999-12-10,1
GS Blewett,v India,Melbourne,1999-12-26,1
GS Blewett,v India,Sydney,2000-01-02,1
GS Blewett,v New Zealand,Auckland,2000-03-11,1
GS Blewett,v New Zealand,Wellington,2000-03-24,1
ML Hayden,v New Zealand,Hamilton,2000-03-31,1
ML Hayden,v West Indies,Brisbane,2000-11-23,1
ML Hayden,v West Indies,Perth,2000-12-01,1
ML Hayden,v West Indies,Adelaide,2000-12-15,1
ML Hayden,v West Indies,Melbourne,2000-12-26,1
ML Hayden,v West Indies,Sydney,2001-01-02,1
ML Hayden,v India,Mumbai,2001-02-27,1
MJ Slater,v Zimbabwe,Harare,1999-10-14,2
MJ Slater,v Pakistan,Brisbane,1999-11-05,2
MJ Slater,v Pakistan,Hobart,1999-11-18,2
MJ Slater,v Pakistan,Perth,1999-11-26,2
MJ Slater,v India,Adelaide,1999-12-10,2
MJ Slater,v India,Melbourne,1999-12-26,2
MJ Slater,v India,Sydney,2000-01-02,2
MJ Slater,v New Zealand,Auckland,2000-03-11,2
MJ Slater,v New Zealand,Wellington,2000-03-24,2
MJ Slater,v New Zealand,Hamilton,2000-03-31,2
MJ Slater,v West Indies,Brisbane,2000-11-23,2
MJ Slater,v West Indies,Perth,2000-12-01,2
MJ Slater,v West Indies,Adelaide,2000-12-15,2
MJ Slater,v West Indies,Melbourne,2000-12-26,2
MJ Slater,v West Indies,Sydney,2001-01-02,2
MJ Slater,v India,Mumbai,2001-02-27,2
JL Langer,v Zimbabwe,Harare,1999-10-14,3
JL Langer,v Pakistan,Brisbane,1999-11-05,3
JL Langer,v Pakistan,Hobart,1999-11-18,3
JL Langer,v Pakistan,Perth,1999-11-26,3
JL Langer,v India,Adelaide,1999-12-10,3
JL Langer,v India,Melbourne,1999-12-26,3
