Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Harry Maguire,LEI,EPL,D,38,3420,38,0,0,7,0,0,2,4,0,1,3,30,8,48,15,2,18,5,14,0,28,63,46,34,30,1363,1740,2,119,269,51,263,0,1,25,7,2,5,1,0,0,0,18,0,2315,84,0,0,0,0,0,0,0,0,9,0,0,0,60,9,2,176,176,173,1,1,4,3,1,60
Jack Cork,BUR,EPL,M,38,3420,38,0,0,7,0,0,2,1,0,1,0,15,5,40,19,4,19,0,16,2,15,59,46,23,54,1276,1581,2,58,242,31,195,1,0,9,5,2,6,0,0,0,0,46,0,2099,21,0,0,0,0,0,0,2,2,4,0,0,0,39,12,0,80,80,86,0,0,1,0,2,41
Jonas Lossl,HUD,EPL,G,38,3420,38,0,0,1,0,0,0,1,0,1,0,0,0,4,0,0,3,1,2,0,0,1,0,0,6,723,1284,0,15,345,3,24,3,3,0,0,0,0,0,0,0,0,0,1,1592,0,0,0,0,0,0,0,0,0,1,0,0,0,58,10,0,37,37,419,0,0,0,0,0,3
Zanka,HUD,EPL,D,38,3420,38,0,0,6,0,0,0,2,0,1,1,13,3,79,0,0,9,1,7,0,20,55,36,45,9,1198,1561,0,88,166,3,154,1,4,11,3,0,2,0,0,0,0,0,0,2078,28,0,0,0,0,0,0,0,0,3,0,0,0,58,10,1,240,240,104,1,0,2,4,0,3
Gianluigi Donnarumma,MIL,SERI,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3,836,1085,0,5,290,1,8,3,4,0,0,0,0,0,0,0,0,0,1,1405,2,0,0,0,0,0,0,0,0,0,0,0,0,42,12,0,34,34,247,0,0,0,0,0,1
Milan Skriniar,INT,SERI,D,38,3420,38,0,0,2,0,0,4,0,1,0,0,21,10,35,0,0,8,0,8,0,26,86,55,40,29,2170,2380,0,69,280,19,198,0,0,17,7,4,4,3,0,0,0,15,1,2860,30,0,0,0,0,0,0,0,0,2,0,0,0,30,17,0,172,172,101,2,0,0,2,3,19
Asmir Begovic,BOU,EPL,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,7,485,945,0,11,349,0,15,5,2,0,0,0,0,0,0,0,0,0,0,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,61,6,1,37,37,244,0,0,0,0,0,0
Benjamin Lecomte,MTP,FRAN,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,1,3,4,597,928,0,20,387,1,25,0,1,0,0,0,0,0,0,0,0,0,0,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,1,29,29,310,0,0,0,0,0,1
Baptiste Reynet,DIJ,FRAN,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,6,4,0,7,977,1416,0,15,413,3,27,0,1,0,0,0,0,0,0,0,0,0,0,1907,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,44,44,384,0,0,0,0,0,3
Mathew Ryan,BHA,EPL,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,505,1053,0,13,335,0,13,2,1,0,0,0,0,0,0,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,0,23,23,364,0,0,0,0,0,0
