Player,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Aitor Fernandez,LEV,LIGA,G,12,1080,12,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,184,309,0,5,100,0,7,1,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,15,15,81,0,0,0,0,0,0
Haitam Aleesami,ASC,FRAN,D,12,1080,12,0,0,3,0,0,1,0,0,0,0,2,1,18,23,3,10,0,8,2,5,26,14,15,4,401,508,2,26,62,5,60,0,1,2,1,1,0,0,0,0,0,11,0,804,10,0,0,0,0,0,0,3,2,3,0,0,0,17,2,0,29,29,14,1,0,0,0,1,10
Didier Ndong,DIJ,FRAN,M,12,1080,12,0,0,2,0,0,0,0,0,0,0,11,6,19,15,1,6,0,6,0,3,22,15,18,8,491,566,1,9,77,8,47,0,0,3,2,0,8,4,0,0,0,12,0,729,10,0,0,0,0,1,0,0,0,5,0,0,0,13,4,0,10,10,39,1,0,2,1,0,14
Jesus Navas,SEV,LIGA,M/D,12,1080,12,0,0,0,0,0,0,3,0,3,0,5,1,12,76,16,18,2,15,0,0,9,6,5,12,519,648,16,6,69,19,44,0,0,3,1,0,2,0,0,0,0,6,0,975,31,0,0,0,0,0,0,0,0,13,0,0,0,13,5,0,22,22,41,1,0,0,0,0,26
Matz Sels,STR,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,214,316,0,3,99,0,4,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,7,7,109,0,0,0,0,0,0
Mike Maignan,LIL,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,156,288,0,1,94,0,4,1,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,7,7,66,0,0,0,0,0,0
Saul Niguez,ATL,LIGA,M,12,1080,12,0,0,4,0,0,1,0,0,0,0,13,2,17,10,0,2,0,2,0,3,27,20,28,12,477,577,0,34,70,9,82,0,0,8,2,1,5,0,0,0,0,10,0,772,16,0,0,0,0,0,0,0,0,4,0,0,0,7,7,0,22,22,30,1,0,2,1,0,12
Alexandre Oukidja,FCM,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,164,316,0,8,111,1,9,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,10,10,93,0,0,0,0,0,1
Regis Gurtner,ASC,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,4,212,345,0,6,103,0,9,1,1,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,1,0,0,0,17,2,0,9,9,108,0,0,0,0,0,0
Vitorino Hilton,MTP,FRAN,D,12,1080,12,0,0,2,0,0,0,1,0,1,0,10,0,23,1,0,10,2,9,0,14,12,7,10,10,500,614,0,41,81,2,65,1,0,10,0,0,0,0,0,0,0,0,0,759,15,0,0,0,0,0,0,0,0,3,0,0,0,10,3,0,43,43,80,0,0,0,0,0,2
Tomas Vaclik,SEV,LIGA,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,289,0,1,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,7,7,69,0,0,0,0,0,0
Diego Lopez,ESP,LIGA,G,12,1080,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,219,365,0,2,124,1,7,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,6,6,78,0,0,0,0,0,1
Fabien Centonze,FCM,FRAN,D,12,1080,12,0,0,2,0,0,0,0,0,0,0,4,1,22,26,7,7,0,7,0,5,40,24,13,18,379,494,7,16,68,13,87,0,0,2,0,0,2,1,0,0,0,12,0,828,12,0,0,0,0,0,0,0,0,6,0,0,0,18,3,0,31,31,25,0,0,0,0,0,26
Steve Mandanda,OM,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,222,310,0,3,113,1,4,1,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,5,5,60,0,0,0,0,0,1
Ludovic Butelle,SCO,FRAN,G,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,149,256,0,2,105,0,4,3,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,6,6,70,0,0,0,0,0,0
Bruno Ecuele Manga,DIJ,FRAN,D,12,1080,12,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,3,0,3,0,10,9,6,2,5,518,590,0,28,69,3,44,0,0,7,0,0,1,0,0,0,0,6,0,716,10,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,43,43,52,0,0,0,1,0,4
