Player,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Aaron,103,9000,99,4,3,14,0,0,0,3,1,2,1,29,10,154,538,120,132,12,88,40,26,189,118,113,77,2764,3464,74,72,501,129,463,1,1,9,3,0,20,7,0,0,1,93,0,6243,55,0,0,0,0,52,14,138,133,52,3,1,0,140,25,0,195,194,148,2,0,8,0,0,181
Aaron Connolly,8,366,4,4,4,0,0,0,2,0,0,0,0,15,6,0,5,0,3,0,3,0,0,1,1,4,13,46,56,0,9,10,4,27,0,0,12,6,2,3,0,0,0,1,5,0,135,24,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,2,2,0,0,0,5,1,1,7
Aaron Cresswell,88,7312,83,5,11,11,1,1,3,10,1,6,4,49,11,95,391,69,68,10,38,20,32,96,60,37,42,2449,3130,39,121,364,22,281,1,4,20,4,1,29,7,2,0,0,51,0,5164,77,0,0,0,0,38,10,75,66,57,14,6,2,133,16,0,220,219,195,0,1,9,2,1,56
Aaron Herzog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Hunt,51,3468,40,11,19,4,0,0,7,4,0,3,1,44,15,33,239,77,88,7,34,50,6,64,40,52,74,1218,1564,10,34,189,32,200,0,3,18,10,4,26,5,3,0,0,39,0,2357,78,2,1,0,1,59,18,176,134,28,14,3,2,58,3,0,21,21,98,2,0,11,5,3,76
Aaron Lennon,64,3879,44,20,24,5,0,0,1,4,0,3,1,24,7,34,76,12,24,2,20,0,7,84,55,38,43,697,943,12,14,163,26,163,0,0,18,6,1,6,1,0,0,1,49,0,1584,79,0,0,0,0,0,0,1,1,23,0,0,0,63,4,1,39,39,17,0,0,1,1,1,60
Aaron Leya Iseka,46,1961,20,26,10,2,0,1,5,2,0,2,0,43,15,4,4,0,17,0,15,0,4,8,6,42,21,319,414,0,47,43,12,86,0,0,38,12,4,5,3,1,0,1,46,0,705,80,0,0,0,0,0,0,0,0,11,0,0,0,34,2,0,14,14,5,2,0,8,7,3,31
Aaron Mooy,71,5673,63,8,8,8,1,1,7,4,1,2,2,75,21,55,337,77,95,9,55,36,15,176,109,55,29,2661,3338,19,51,494,43,297,0,0,26,8,5,49,13,2,0,0,104,0,4567,64,2,2,0,0,76,20,159,133,32,11,6,1,102,13,0,71,71,173,3,0,3,0,4,69
Aaron Ramsdale,11,990,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,162,298,0,1,91,0,3,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,11,11,65,0,0,0,0,0,0
Aaron Ramsey,80,4650,51,29,21,3,0,0,13,18,1,17,1,137,53,45,57,10,81,18,63,0,8,95,59,71,78,2640,3098,10,33,330,65,271,0,1,88,40,10,49,13,3,0,2,90,0,3992,255,0,0,0,0,1,0,2,1,44,0,0,0,60,10,0,26,26,99,7,0,6,12,6,91
Aaron Rowe,2,69,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,13,20,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3
Aaron Seydel,6,172,1,5,0,0,0,0,1,0,0,0,0,4,2,1,1,0,0,0,0,0,1,1,0,6,6,27,49,0,13,7,0,19,0,0,2,2,1,2,0,0,0,0,3,0,76,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,2,0,0,3,0,1,2
