Player,POS,Position,ValMillions
Harry Maguire,Centre Back,Defender,63.0
Victor Lindelof,Centre Back,Defender,31.5
Eric Bailly,Centre Back,Defender,22.5
Phil Jones,Centre Back,Defender,13.5
Marcos Rojo,Centre Back,Defender,9.0
Axel Tuanzebe,Centre Back,Defender,6.3
Luke Shaw,Left Back,Defender,27.0
Ashley Young,Left Back,Defender,4.5
Aaron Wan Bissaka,Right Back,Defender,36.0
Diogo Dalot,Right Back,Defender,18.0
Timothy Fosu Mensah,Right Back,Defender,6.3
Nemanja Matic,Defensive Midfield,Midfielder,22.5
Paul Pogba,Central Midfield,Midfielder,90.0
Fred,Central Midfield,Midfielder,22.5
Scott McTominay,Central Midfield,Midfielder,18.0
Juan Mata,Attacking Midfield,Midfielder,18.0
Andreas Pereira,Attacking Midfield,Midfielder,13.5
Anthony Martial,Left Winger,Midfielder,54.0
Daniel James,Left Winger,Midfielder,22.5
Jesse Lingard,Right Winger,Midfielder,36.0
Marcus Rashford,Centre Forward,Striker,72.0
Mason Greenwood,Centre Forward,Striker,9.0
John Egan,Centre Back,Defender,6.3
Jack OConnell,Centre Back,Defender,5.85
Chris Basham,Centre Back,Defender,2.25
Phil Jagielka,Centre Back,Defender,0.9
Richard Stearman,Centre Back,Defender,0.9
Kean Bryan,Centre Back,Defender,0.225
Enda Stevens,Left Back,Defender,3.15
George Baldock,Right Back,Defender,2.7
Kieron Freeman,Right Back,Defender,1.35
Muhamed Besic,Defensive Midfield,Midfielder,4.5
John Fleck,Central Midfield,Midfielder,4.5
Oliver Norwood,Central Midfield,Midfielder,4.5
John Lundstram,Central Midfield,Midfielder,1.8
Ben Osborn,Left Midfield,Midfielder,2.7
Luke Freeman,Attacking Midfield,Midfielder,4.5
Ravel Morrison,Attacking Midfield,Midfielder,0.9
Callum Robinson,Left Winger,Midfielder,6.3
Ricky Holmes,Left Winger,Midfielder,0.315
Oliver McBurnie,Centre Forward,Striker,10.8
Lys Mousset,Centre Forward,Striker,5.4
Billy Sharp,Centre Forward,Striker,2.25
David McGoldrick,Centre Forward,Striker,1.8
Leon Clarke,Centre Forward,Striker,0.45
Ben Godfrey,Centre Back,Defender,8.1
Christoph Zimmermann,Centre Back,Defender,3.15
Grant Hanley,Centre Back,Defender,2.7
Timm Klose,Centre Back,Defender,2.7
Jamal Lewis,Left Back,Defender,8.1
Philip Heise,Left Back,Defender,0.9
Max Aarons,Right Back,Defender,7.2
Sam Byram,Right Back,Defender,3.15
Ibrahim Amadou,Defensive Midfield,Midfielder,6.3
Tom Trybull,Defensive Midfield,Midfielder,3.6
Alexander Tettey,Defensive Midfield,Midfielder,1.8
