,Player,POS,Valuation
0,Bartlomiej Dragowski,Goalkeeper,£9.00m
3,Pietro Terracciano,Goalkeeper,£720k
6,Federico Brancolini,Goalkeeper,£90k
9,Nikola Milenkovic,Centre-Back,£27.00m
12,Germán Pezzella,Centre-Back,£16.20m
15,Jacob Rasmussen,Centre-Back,£3.60m
18,Federico Ceccherini,Centre-Back,£3.15m
21,Martín Cáceres,Centre-Back,£1.35m
24,Dalbert,Left-Back,£9.00m
27,Luca Ranieri,Left-Back,£1.80m
30,Aleksa Terzic,Left-Back,£1.35m
33,Pol Lirola,Right-Back,£11.70m
36,Lorenzo Venuti,Right-Back,£1.80m
39,Erick Pulgar,Defensive Midfield,£12.60m
42,Milan Badelj,Defensive Midfield,£4.50m
45,Bryan Dabo,Defensive Midfield,£3.15m
48,Marco Benassi,Central Midfield,£16.20m
51,Gaetano Castrovilli,Central Midfield,£7.20m
54,Szymon Zurkowski,Central Midfield,£3.60m
57,Sebastián Cristóforo,Central Midfield,£1.62m
60,Valentin Eysseric,Attacking Midfield,£2.70m
63,Tòfol Montiel,Attacking Midfield,£900k
66,Franck Ribéry,Left Winger,£3.60m
69,Riccardo Sottil,Left Winger,£2.25m
72,Federico Chiesa,Right Winger,£54.00m
75,Rachid Ghezzal,Right Winger,£7.20m
78,Cyril Théréau,Second Striker,£450k
81,Pedro,Centre-Forward,£16.20m
84,Kevin-Prince Boateng,Centre-Forward,£6.30m
87,Dusan Vlahovic,Centre-Forward,£2.70m
90,Bobby Duncan,Centre-Forward,£1.35m
93,Lukasz Skorupski,Goalkeeper,£6.30m
96,Angelo da Costa,Goalkeeper,£180k
99,Mouhamadou Sarr,Goalkeeper,£90k
102,Stefano Denswil,Centre-Back,£5.40m
105,Mattia Bani,Centre-Back,£2.25m
108,Danilo,Centre-Back,£720k
111,Gabriele Corbo,Centre-Back,£720k
114,Nehuén Paz,Centre-Back,£360k
117,Mitchell Dijks,Left-Back,£4.50m
120,Takehiro Tomiyasu,Right-Back,£8.10m
123,Ibrahima Mbaye,Right-Back,£2.70m
126,Gary Medel,Defensive Midfield,£3.38m
129,Roberto Soriano,Central Midfield,£6.30m
132,Mattias Svanberg,Central Midfield,£3.60m
135,Andrea Poli,Central Midfield,£2.70m
138,Jerdy Schouten,Central Midfield,£1.80m
141,Blerim Dzemaili,Central Midfield,£900k
144,Nicola Sansone,Left Winger,£6.75m
147,Ladislav Krejci,Left Winger,£2.48m
150,Riccardo Orsolini,Right Winger,£18.00m
153,Andreas Skov Olsen,Right Winger,£7.20m
156,Federico Santander,Centre-Forward,£5.40m
159,Mattia Destro,Centre-Forward,£3.15m
162,Rodrigo Palacio,Centre-Forward,£450k
165,Emil Audero,Goalkeeper,£13.50m
168,Andrea Seculin,Goalkeeper,£270k
171,Wladimiro Falcone,Goalkeeper,£158k
174,Jeison Murillo,Centre-Back,£9.00m
177,Omar Colley,Centre-Back,£7.20m
180,Julian Chabot,Centre-Back,£3.15m
183,Alex Ferrari,Centre-Back,£1.35m
