team,lat,long
Arsenal,51.555,-0.109
AstonVilla,52.509,-1.885
Bournemouth,50.735,-1.838
BrightonAndHoveAlbion,50.862,-0.083
Burnley,53.789,-2.230
Chelsea,51.481,-0.191
CrystalPalace,51.398,-0.086
Everton,53.439,-2.966
LeicesterCity,52.620,-1.142
Liverpool,53.431,-2.961
ManchesterCity,53.483,-2.200
ManchesterUnited,53.463,-2.291
NewcastleUnited,54.976,-1.622
NorwichCity,52.622,1.309
SheffieldUnited,53.370,-1.471
Southampton,50.906,-1.391
TottenhamHotspur,51.605,-0.066
Watford,51.650,-0.402
WestHamUnited,51.539,-0.016
WolverhamptonWanderers,52.590,-2.130
